SI.No.,States/UT/City,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Estmated Mid- Year Population(In Lakhs),Rate of Total Cognizable Crimes,Rank of * Criminality
1,Andhra Pradesh,339519,10.8,750.1,452.6,4
2,Arunachal Pradesh,43,0,11.7,3.7,30
3,Assam,2662,0.1,259.8,10.2,24
4,Bihar,10180,0.3,987.3,10.3,23
5,Goa,1118,0,15.6,71.7,14
6,Gujarat,153061,4.9,477.9,320.3,6
7,Haryana,19763,0.6,196.4,100.6,11
8,Himachal Pradesh,3681,0.1,66,55.8,16
9,jammu & Kashmir,3570,0.1,97.9,36.5,20
10,Karnataka,19864,0.6,516.5,38.5,19
11,Kerala,17825,7.5,320.8,55.6,17
12,Madhya Pradesh,236951,12.2,788.1,300.7,7
13,Maharashtra,384930,0,904.5,425.6,5
14,Manipur,612,0,24.7,24.8,21
15,Meghalaya,118,0,23.8,5,27
16,Mizoram,961,0,9.3,103.3,10
17,Nagaland,351,0,16.5,21.3,22
18,Orissa,2454,0.1,356.4,6.9,26
19,Punjab,22813,0.7,233.7,97.6,12
20,Rajasthan,25228,0.8,529.4,47.7,18
21,Sikkim,26,0,5.5,4.7,28
22,Tamil Nadu,620736,19.7,614.3,1010.5,2
23,Tripura,70,0,37,1.9,32
24,Uttar Pradesh,408422,13,1676.6,243.6,8
25,West Bengal,854985,27.2,783.2,1091.7,1
Total States,Total States,3129943,99.5,9703,322.6,NA
26,A & N Islands,2806,0.1,3.8,738.4,3
27,Chandigarh,506,0,8.7,58.2,15
28,D & N Haveli,16,0,1.9,8.4,25
29,Daman & DIU,5,0,1.4,3.6,31
30,Delhi,11373,0.4,136.4,83.6,13
31,Lakshadeep,3,0,0.7,4.3,29
32,Pondicherry,2449,0.1,10.9,224.7,9
Total (UTs),Total (UTs),17158,0.5,163.4,105,NA
Total (All-India),Total (All-India),3147101,100,9866.4,319,NA
33,Ahmedabad,13344,0.9,41.2,323.9,13
34,Bangalore,2504,0.2,55.1,45.4,22
35,Bhopal,1247,0.1,16.1,77.5,18
36,Calcutta,843808,58.7,128.2,6582,1
37,Chennai,59441,4.1,65.9,902,6
38,Coimbatore,4439,0.3,12.8,346.8,12
39,Delhi,10497,0.7,116,90.5,17
40,Hyderabad,55307,3.8,67.8,815.7,7
41,Indore,3624,0.3,14.1,257,15
42,Jaipur,1486,0.1,21.2,70.1,20
43,Kanpur,29023,2,24.3,1194.4,5
44,Kochi,1226,0.1,17.4,70.5,19
45,Lucknow,15247,1.1,25.4,600.3,9
46,Ludhiana,764,0.1,16.4,46.6,21
47,Madurai,48962,3.4,12.6,3885.9,3
48,Mumbai,228347,15.9,179.3,1273.5,4
49,Nagpur,3540,0.2,20.4,173.5,16
50,Patna,501,0,12.8,39.1,23
51,Pune,10678,0.7,34.6,308.6,14
52,Surat,17308,1.2,23.2,746,8
53,Vadodra,7004,0.5,15.9,440.5,11
54,Varanasi,7435,0.5,12.8,580.9,10
55,Vishakhapatnam,72867,5.1,16.9,4311.7,2
Total Cities,Total Cities,1438599,100,950.4,1513.7,NA
