SI.No. (1),States/UT/City (2),No. of police personnel Died Natural Deaths While In Service - 18-25 years (3),No. of police personnel Died Natural Deaths While In Service - 26-35 years (4),No. of police personnel Died Natural Deaths While In Service - 36-45 years (5),No. of police personnel Died Natural Deaths While In Service - 46-55 years (6),No. of police personnel Died Natural Deaths While In Service - Above 55 years (7),No. of police personnel Died Natural Deaths While In Service - Total (Col.3 to 7) (8)
1,Andhra Pradesh,3,17,63,44,11,138
2,Arunachal Pradesh,2,3,3,7,3,18
3,Assam,2,3,7,13,6,31
4,Bihar,2,6,46,34,4,92
5,Goa,0,0,2,2,0,4
6,Gujarat,0,11,42,26,8,87
7,Haryana,1,3,6,11,5,26
8,Himachal Pradesh,0,0,0,0,0,0
9,Jammu & Kashmir,1,1,2,2,0,6
10,Karnataka,0,10,46,63,9,128
11,Kerala,0,2,16,28,0,46
12,Madhya Pradesh,6,23,41,58,22,150
13,Maharashtra,2,47,81,72,6,208
14,Manipur,0,0,2,0,0,2
15,Meghalaya,2,5,2,2,1,12
16,Mizoram,0,0,10,3,0,13
17,Nagaland,0,2,2,0,0,4
18,Orissa,0,3,3,3,2,11
19,Punjab,1,15,10,14,1,41
20,Rajasthan,4,22,38,17,5,86
21,Sikkim,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,1,23,53,104,17,198
23,Tripura,0,0,0,0,0,0
24,Uttar Pradesh,2,4,21,7,4,38
25,West Bengal,2,8,43,65,37,155
Total States,Total States,31,208,539,575,141,1494
26,A & N Islands,0,0,0,0,0,0
27,Chandigarh,0,2,4,3,1,10
28,D & N Haveli,0,0,0,0,0,0
29,Daman & DIU,0,2,0,0,1,3
30,Delhi,5,23,43,46,22,139
31,Lakshadweep,0,0,0,1,0,1
32,Pondicherry,0,0,3,1,1,5
Total (UTs),Total (UTs),5,27,50,51,25,158
Total (All-India),Total (All-India),36,235,589,626,166,1652
33,Ahmedabad,0,0,0,0,0,0
34,Bangalore,0,0,6,4,1,11
35,Bhopal,2,2,2,5,0,11
36,Calcutta,2,6,33,24,7,72
37,Chennai,0,0,0,3,0,3
38,Coimbatore,0,0,0,12,0,12
39,Delhi,5,23,43,46,22,139
40,Hyderabad,0,0,0,0,0,0
41,Indore,0,3,3,4,3,13
42,Jaipur,0,0,0,0,0,0
43,Kanpur,0,0,0,0,0,0
44,Kochi,0,0,0,1,0,1
45,Lucknow,0,0,0,0,0,0
46,Ludhiana,0,0,1,1,0,2
47,Madurai,0,2,6,2,1,11
48,Mumbai,0,5,18,16,1,40
49,Nagpur,0,3,3,12,1,19
50,Patna,0,0,29,0,0,29
51,Pune,0,0,0,0,0,0
52,Surat,0,0,0,0,0,0
53,Vadodra,0,0,0,1,0,1
54,Varanasi,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0,0
Total Cities,Total Cities,9,44,144,131,36,364
