SI No.,Crime Incidence(IPC),1995 - No.,1995 - %,1996 - No.,1996 - %,1997 - No.,1997 - %,1998 - No.,1998 - %,1999 - No.,1999 - %
1,More than 10000,9,1.5,10,1.7,13,2.1,9,1.3,10,1.5
2,5000-10000,91,15.6,91,15.4,73,11.6,79,11.9,79,11.8
3,Less than 5000,484,82.9,491,82.9,546,86.3,577,86.8,578,86.7
4,NA,584,100,592,100,632,100,665,100,667,100
