SI.No. (1),States/UT/City(2),No. of Reported Cases Where The Property Was Lost Under - Criminal Breach of Trust -Worth Rs. - 1-10 Crore (3),No. of Reported Cases Where The Property Was Lost Under - Criminal Breach of Trust -Worth Rs. - 10-25 Crore (4),No. of Reported Cases Where The Property Was Lost Under - Criminal Breach of Trust -Worth Rs. - 25-50 Crore (5),No. of Reported Cases Where The Property Was Lost Under - Criminal Breach of Trust -Worth Rs. - 50-100 Crore (6),No. of Reported Cases Where The Property Was Lost Under - Criminal Breach of Trust -Worth Rs. - Above 100 Crore (7),No. of Reported Cases Where The Property Was Lost Under - Criminal Breach of Trust -Worth Rs. - Total (8),No. of Reported Cases Where The Property Was Lost Under - Cheating - Worth Rs. - 1-10 Crore (9),No. of Reported Cases Where The Property Was Lost Under - Cheating - Worth Rs. - 10-25 Crore (10),No. of Reported Cases Where The Property Was Lost Under - Cheating - Worth Rs. - 25-50 Crore (11),No. of Reported Cases Where The Property Was Lost Under - Cheating - Worth Rs. - 50-100 Crore (12),No. of Reported Cases Where The Property Was Lost Under - Cheating - Worth Rs. - Above 100 Crore (13),No. of Reported Cases Where The Property Was Lost Under - Cheating - Worth Rs. - Total (14),Grand Total (Col. 8+Col. 14) (15)
1,Andhra Pradesh,1,0,0,0,0,1,1,0,0,0,0,1,2
2,Arunachal Pradesh,0,0,0,0,0,0,1,0,0,0,0,1,1
3,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Goa,0,0,0,0,0,0,1,0,0,0,0,1,1
6,Gujarat,2,10,14,3,27,56,0,5,3,2,10,20,76
7,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,0,0,0,0,0,0,3,0,0,0,0,3,3
11,Kerala,0,0,0,0,0,0,2,0,0,0,0,2,2
12,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Maharashtra,899,31,5,3,1,939,1507,43,5,10,5,1570,2509
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,4,0,0,0,0,4,12,0,0,0,0,12,16
18,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Sikkim,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,0,0
22,Tamil Nadu,0,0,0,0,0,0,3,0,0,0,0,3,3
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
25,West Bengal,0,0,0,0,0,0,1,0,0,0,0,1,1
Total States,Total States,906,41,19,6,28,1000,1531,48,8,12,15,1614,2614
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,1,0,1,0,0,2,2
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,9,0,0,0,0,9,23,0,0,0,0,23,32
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),9,0,0,0,0,9,24,0,1,0,0,25,34
Total (All-India),Total (All-India),915,41,19,6,28,1009,1555,48,9,12,15,1639,2648
33,Ahmedabad,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Bangalore,0,0,0,0,0,0,3,0,0,0,0,3,3
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Calcutta,0,0,0,0,0,0,1,0,0,0,0,1,1
37,Chennai,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Delhi,9,0,0,0,0,9,23,0,0,0,0,23,32
40,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Indore,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Lucknow,9,0,0,0,0,9,2,0,0,0,0,2,11
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madurai,0,0,0,0,0,0,1,0,0,0,0,1,1
48,Mumbai,13,3,0,1,1,18,10,5,0,0,0,15,33
49,Nagpur,0,0,0,0,0,0,1,0,0,0,0,1,1
50,Patna,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Pune,16,1,2,3,0,22,29,10,4,1,0,44,66
52,Surat,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Vadodra,0,0,0,0,0,0,1,0,0,0,0,1,1
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Cities,Total Cities,47,4,2,4,1,58,71,15,4,1,0,91,149
