SI.No.,States/UT/City,ARMS Act,Narcotic Drugs & Psy. Subtances Act,Gambling Act,Excise Act,prohibition Act,Explosive & Expplosive Sub.Act,Immorail Trafic (Prevention) Act,Indian Railways Act,Registration of Foreigners Act,Protection of civil Rights Act,Indian Passport Act,Essenial Commodiies Ac,Terrorist & Disruptive Activites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copy Right Act,Sati Prevention Act,SC/ST (P) of Atrocities Act,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
1,Andhra Pradesh,0,0,22,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,69
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Assam,1,0,2,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10
4,Bihar,8,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,116,5,137
5,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gujarat,2,2,13,0,489,0,80,15,0,0,0,0,0,0,0,0,0,1,0,7,0,190,799
7,Haryana,2,1,13,20,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,49
8,Himachal Pradesh,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,0,0,3,2,0,0,10,0,4,0,3,0,0,0,0,0,0,0,0,1,0,9,32
11,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12,Madhya Pradesh,15,2,52,46,0,6,1,48,0,0,0,1,0,0,2,0,0,0,0,0,0,275,448
13,Maharashtra,3,0,23,0,113,0,36,42,1,1,0,0,0,0,0,0,0,1,0,0,0,471,691
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Mizoram,9,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,5,36
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
19,Punjab,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,Rajasthan,0,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,15,40
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,0,3,0,0,360,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3861,4236
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
25,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total States,Total States,40,9,138,79,962,7,187,107,16,1,18,1,0,0,4,1,2,2,0,18,117,4861,6570
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,4,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),4,0,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,19
Total (All-India),Total (All-India),44,9,141,85,962,7,187,107,16,1,18,2,0,0,4,1,2,2,0,18,117,4866,6589
