SI.No.,States/UT/City,Arms Act - 1998,Arms Act - 1999,Arms Act - PVR,N.D.P.S. Act - 1998,N.D.P.S. Act - 1999,N.D.P.S. Act - PVR,Gambling Act - 1998,Gambling Act - 1999,Gambling Act - PVR,Excise Act - 1998,Excise Act - 1999,Excise Act - PVR,Prohibition Act - 1998,Prohibition Act - 1999,Prohibition Act - PVR,Explosives & Expolosive Substances Act - 1998,Explosives & Expolosive Substances Act - 1999,Explosives & Expolosive Substances Act - PVR,Immoral Traffic (prevention ) Act - 1998,Immoral Traffic (prevention ) Act - 1999,Immoral Traffic (prevention ) Act - PVR,Indian Railways Act - 1998,Indian Railways Act - 1999,Indian Railways Act - PVR,Registration of Foreigners Act - 1998,Registration of Foreigners Act - 1999,Registration of Foreigners Act - PVR,Protection of Cvil Rights Act - 1998,Protection of Cvil Rights Act - 1999,Protection of Cvil Rights Act - PVR,Indian Passport Act - 1998,Indian Passport Act - 1999,Indian Passport Act - PVR,Essential Commodities Act - 1998,Essential Commodities Act - 1999,Essential Commodities Act - PVR,Terrorist and Disruptive Activites Act - 1998,Terrorist and Disruptive Activites Act - 1999,Terrorist and Disruptive Activites Act - PVR,Antiquity & Art Treasure Act - 1998,Antiquity & Art Treasure Act - 1999,Antiquity & Art Treasure Act - PVR,Dowry Prohibition Act - 1998,Dowry Prohibition Act - 1999,Dowry Prohibition Act - PVR,Child Marriage Restraint Act - 1998,Child Marriage Restraint Act - 1999,Child Marriage Restraint Act - PVR,Indecent Representation of Women (P) Act - 1998,Indecent Representation of Women (P) Act - 1999,Indecent Representation of Women (P) Act - PVR,Copy Right Act - 1998,Copy Right Act - 1999,Copy Right Act - PVR,Sati Prevention Act - 1998,Sati Prevention Act - 1999,Sati Prevention Act - PVR,SC/St Prevention of Atrocities Act - 1998,SC/St Prevention of Atrocities Act - 1999,SC/St Prevention of Atrocities Act - PVR,Forest Act - 1998,Forest Act - 1999,Forest Act - PVR,Other SLL Crimes - 1998,Other SLL Crimes - 1999,Other SLL Crimes - PVR,Total Cognizable Crimes Under SLL - 1998,Total Cognizable Crimes Under SLL - 1999,Total Cognizable Crimes Under SLL - PVR
1,Andhra Pradesh,547,575,5.1,544,735,35.1,28524,29203,2.4,5281,3360,-36.4,4447,1761,-60.4,600,698,16.3,507,737,45.4,74,751,914.9,0,0,NA,242,273,12.8,0,40,NA,20,35,75,0,0,NA,4,2,-50,212,282,33,1,1,0,40,15,-62.5,63,65,3.2,0,0,NA,607,802,32.1,60,76,26.7,227256,300108,32.1,269029,339519,26.2
2,Arunachal Pradesh,24,11,-54.2,13,8,-38.5,0,0,NA,0,0,NA,0,0,NA,6,5,-16.7,0,1,NA,0,0,NA,2,4,100,0,0,NA,0,2,NA,1,2,100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,NA,13,9,-30.8,59,43,-27.2
3,Assam,496,535,7.9,128,111,-13.3,176,121,-31.3,122,76,-37.7,48,60,25,68,69,1.5,34,5,-85.3,23,10,-56.5,10,7,-30,3,0,-100,36,54,50,66,38,-42.4,0,0,NA,0,0,NA,62,23,-62.9,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,18,12,-33.3,2222,1541,-30.6,3512,2662,-24.2
4,Bihar,3281,3310,0.9,184,261,41.8,381,328,-13.9,1556,1852,19,10,0,-100,408,428,4.9,37,38,2.7,94,41,-56.4,6,8,33.3,88,5,-94.3,4,2,-50,501,520,3.8,0,0,NA,9,4,-55.6,1488,1211,-18.9,5,3,-40,48,25,-47.9,2,5,150,0,0,NA,871,876,0.6,125,132,5.6,1073,1131,5.4,10171,10180,0.1
5,Goa,4,4,0,19,20,5.3,316,673,113,0,0,NA,0,0,NA,2,3,50,30,28,-6.7,3,4,33.3,12,17,41.7,1,0,-100,0,0,NA,4,6,50,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,11,2,-81.8,0,0,NA,0,0,NA,0,0,NA,389,361,-7.2,791,1118,41.3
6,Gujarat,326,368,12.9,204,172,-15.7,6718,7278,8.3,0,0,NA,94717,104764,10.6,40,53,32.5,8,40,400,2177,2305,5.9,3,6,100,46,37,-19.6,9,6,-33.3,144,129,-10.4,0,0,NA,0,0,NA,0,13,NA,30,31,3.3,2,1,-50,64,147,129.7,0,0,NA,648,629,-2.9,6,13,116.7,31689,37069,17,136831,153061,11.9
7,Haryana,1297,1065,-17.9,873,786,-10,2450,3147,28.4,19944,9275,-53.5,0,0,NA,34,25,-26.5,4,14,250,1177,1073,-8.8,2,2,0,2,1,-50,2,9,350,161,148,-8.1,0,0,NA,0,0,NA,8,2,-75,3,2,-33.3,1,0,-100,21,47,123.8,0,0,NA,27,21,-22.2,1,0,-100,8310,4146,-50.1,34317,19763,-42.4
8,Himachal Pradesh,30,25,-16.7,96,102,6.3,172,121,-29.7,3332,2944,-11.6,0,0,NA,5,4,-20,1,0,-100,0,2,NA,12,9,-25,2,7,250,0,0,NA,13,13,0,0,0,NA,0,0,NA,1,3,200,4,7,75,0,0,NA,0,5,NA,0,0,NA,24,20,-16.7,271,311,14.8,66,108,63.6,4029,3681,-8.6
9,jammu & Kashmir,1602,1438,-10.2,91,91,0,60,61,1.7,145,193,33.1,0,0,NA,308,322,4.5,1,4,300,0,0,NA,16,10,-37.5,0,1,NA,11,33,200,990,706,-28.7,0,0,NA,0,0,NA,3,2,-33.3,0,0,NA,0,0,NA,0,6,NA,0,0,NA,0,0,NA,10,29,190,634,674,6.3,3871,3570,-7.8
10,Karnataka,137,82,-40.1,165,224,35.8,4979,4787,-3.9,3100,3265,5.3,0,8,NA,171,106,-38,1403,1225,-12.7,6,12,100,59,61,3.4,172,85,-50.6,14,41,192.9,203,230,13.3,0,0,NA,0,2,NA,384,361,-6,2,0,-100,4,1,-75,65,60,-7.7,0,0,NA,1049,1203,14.7,435,387,-11,1419668,7724,-99.5,1430216,19864,-98.6
11,Kerala,205,197,-3.9,390,437,12.1,1739,1707,-1.8,252,233,-7.5,4590,5592,21.8,271,267,-1.5,27,62,129.6,20,13,-35,6,12,100,6,1,-83.3,40,41,2.5,96,78,-18.8,0,0,NA,0,0,NA,8,9,12.5,1,2,100,30,9,-70,89,61,-31.5,0,0,NA,356,277,-22.2,66,56,-15.2,7590,8771,15.6,15782,17825,12.9
12,Madhya Pradesh,9817,9701,-1.2,742,1102,48.5,21210,21936,3.4,24251,26591,9.8,0,0,NA,527,480,-8.9,16,33,106.3,13920,13750,-2.5,7,3,-57.1,52,43,-17.3,0,2,NA,215,293,36.3,0,0,NA,0,0,NA,128,197,53.9,1,0,-100,2,0,-100,88,186,111.4,0,0,NA,1192,1077,-9.6,74,69,-6.8,159725,161668,1.2,231931,236951,2.2
13,Maharashtra,1245,1368,9.9,907,685,-24.5,15073,15670,4,0,0,NA,105584,116890,10.7,62,74,19.4,444,390,-12.2,6175,6197,0.4,149,74,-50.3,231,204,-11.7,16,18,12.5,682,965,41.5,0,0,NA,1,2,100,24,14,-41.7,0,2,NA,36,147,308,410,586,42.9,0,0,NA,243,215,-11.5,23,25,8.7,211588,241404,14.1,342893,384930,12.3
14,Manipur,60,20,-66.7,71,66,-7,8,4,-50,0,0,NA,0,0,NA,19,10,-47.4,0,0,NA,0,0,NA,0,0,NA,0,0,NA,9,0,-100,3,2,-33.3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,473,510,7.8,643,612,-4.8
15,Meghalaya,60,54,-10,22,12,-45.5,64,14,-78.1,4,8,100,0,0,NA,4,10,150,0,0,NA,0,0,NA,0,6,NA,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,3,NA,0,0,NA,0,0,NA,0,0,NA,18,10,-44.4,173,118,-31.8
16,Mizoram,18,16,-11.1,41,34,-17.1,15,10,-33.3,0,0,NA,0,0,NA,9,2,-77.8,0,0,NA,0,0,NA,67,80,19.4,0,0,NA,74,42,-43.2,1,6,500,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1059,771,-27.2,1284,961,-25.2
17,Nagaland,28,16,-42.9,134,98,-26.9,1,0,-100,25,8,-68,72,27,-62.5,5,7,40,0,0,NA,14,11,-21.4,1,0,-100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,-100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,305,184,-39.7,586,351,-40.1
18,Orissa,288,258,-10.4,131,118,-9.9,626,559,-10.7,2829,220,-92.2,3,1,-66.7,126,58,-54,11,22,100,8,8,0,0,0,NA,5,0,-100,1,0,-100,46,83,80.4,0,0,NA,0,0,NA,338,349,3.3,0,0,NA,0,0,NA,5,5,0,0,0,NA,698,617,-11.6,4,3,-25,326,153,-53.1,5445,2454,-54.9
19,Punjab,1008,1044,3.6,1809,1741,-3.8,2140,2217,3.6,15467,16676,7.8,0,0,NA,22,42,90.9,5,14,180,176,139,-21,10,14,40,1,5,400,74,91,23,107,110,2.8,0,0,NA,0,0,NA,2,7,250,2,2,0,7,0,-100,28,35,25,0,0,NA,15,18,20,0,1,NA,215,657,205.6,21088,22813,8.2
20,Rajasthan,1392,1437,3.2,467,645,38.1,4355,5601,28.6,4346,6150,41.5,0,0,NA,269,282,4.8,47,85,80.9,1290,1351,4.7,5,15,200,1,3,200,19,17,-10.5,198,212,7.1,0,0,NA,14,0,-100,1,3,200,5,6,20,1,8,700,89,122,37.1,0,0,NA,4677,4572,-2.2,856,1092,27.6,3313,3627,9.5,21345,25228,18.2
21,Sikkim,4,7,75,11,1,-90.9,0,0,NA,161,0,-100,0,0,NA,3,2,-33.3,0,0,NA,0,0,NA,11,3,-72.7,0,0,NA,0,0,NA,1,3,200,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,631,10,-98.4,822,26,-96.8
22,Tamil Nadu,225,183,-18.7,1859,2409,29.6,16288,16483,1.2,1,3,200,330601,318161,-3.8,690,386,-44.1,5937,6462,8.8,76,43,-43.7,6,3,-50,235,302,28.5,50,19,-62,21,33,57.1,0,0,NA,0,0,NA,269,226,-16,0,0,NA,10,0,-100,62,175,182.3,0,0,NA,673,673,0,43,32,-25.6,316893,275143,-13.2,673939,620736,-7.9
23,Tripura,53,36,-32.1,9,2,-77.8,2,6,200,0,0,NA,0,0,NA,7,5,-28.6,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,40,21,-47.5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,3330,0,-100,3441,70,-98
24,Uttar Pradesh,38029,34702,-8.7,8407,9238,9.9,4965,4844,-2.4,24575,25475,3.7,3,1,-66.7,1088,860,-21,31,24,-22.6,6421,5884,-8.4,5,1,-80,115,13,-88.7,9,4,-55.6,1370,1222,-10.8,0,0,NA,0,1,NA,633,347,-45.2,0,1,NA,7,6,-14.3,236,213,-9.7,0,0,NA,3533,3579,1.3,2933,2869,-2.2,311834,319138,2.3,404194,408422,1
25,West Bengal,1279,1511,18.1,276,330,19.6,933,790,-15.3,1775,1675,-5.6,0,7,NA,155,164,5.8,43,39,-9.3,8344,4641,-44.4,807,1229,52.3,0,0,NA,6,12,100,717,730,1.8,0,0,NA,10,4,-60,3,1,-66.7,0,0,NA,0,0,NA,79,112,41.8,0,0,NA,0,0,NA,1,25,2400,756317,843715,11.6,770745,854985,10.9
Total States,Total States,61455,57963,-5.7,17593,19428,10.4,111195,115560,3.9,107130,98004,-8.5,540075,547272,1.3,4899,4362,-11,8586,9223,7.4,39998,36055,-9.9,1196,1564,30.8,1202,980,-18.5,374,433,15.8,5601,5586,-0.3,0,0,NA,38,15,-60.5,3564,3050,-14.4,54,57,5.6,189,212,12.2,1312,1835,39.9,0,0,NA,14613,14579,-0.2,4926,5133,4.2,3464937,2208632,-36.3,4388937,3129943,-28.7
26,A & N Islands,0,0,NA,1,5,400,5,16,220,1853,2301,24.2,85,112,31.8,1,2,100,0,5,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,2,1,-50,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,386,364,-5.7,2333,2806,20.3
