SI.No,Crime Head,Total no. of Persons under Arrest*Including those From previous Year,Persons Released Before Trial No.,Persons Released Before Trial Percentage to Total,Persons Charge Sheeted no.,Persons Charge Sheeted Percentage to Total,Persons under Investigation at the end of the Year no.,Persons under Investigation at the end of the Year Percentage to Total
1,Murder,106959,4593,4.3,74124,69.3,28242,26.4
2,Attempt to Commit Murder,97382,2960,3,71028,72.9,23394,24
3,C.H. Not Amounting To Murder,9727,628,6.5,6698,68.9,2401,24.7
4,Rape,26244,1002,3.8,19623,74.8,5619,21.4
5,Kidnapping & Abduction,43729,3737,8.5,26682,61,13310,30.4
5,I)of Woman & Girls,26572,2471,9.3,16736,63,7365,27.7
5,II)of Others,17157,1266,7.4,9946,58,5945,34.7
6,Dacoity,40500,3704,9.1,20424,50.4,16372,40.4
7,Preparation & Assembly for Dacoity,9824,547,5.6,6093,62,3184,32.4
8,Robbery,42379,3195,7.5,26498,62.5,12686,29.9
9,Burglary,87983,7065,8,63210,71.8,17708,20.1
10,Theft,221529,22199,10,150128,67.8,49202,22.2
10,I) Auto Theft,31742,2397,7.6,24109,76,5236,16.5
10,II) Other Theft,189704,19791,10.4,125988,66.4,43925,23.2
11,Riots,541277,28213,5.2,377570,69.8,135494,25
12,Criminal Breach of Trust,23698,1135,4.8,14829,62.6,7734,32.6
13,Cheating,52239,2896,5.5,33620,64.4,15723,30.1
14,Counterfeiting,3045,258,8.5,1246,40.9,1541,50.6
15,Arson,18181,1427,7.8,12655,69.6,4099,22.5
16,Hurt,506171,13438,2.7,434686,85.9,58047,11.5
17,Dowry Deaths,21412,704,3.3,16574,77.4,4134,19.3
18,Molestation,45799,1328,2.9,39906,87.1,4565,10
19,Sexual Harassment,11148,135,1.2,10123,90.8,890,8
20,Cruelty by Husband and Relatives,114998,3577,3.1,96038,83.5,15383,13.4
21,Importation of Girls,3,0,0,3,0,0,0
22,Other IPC Crimes,1181040,40331,3.4,974436,82.5,166273,14.1
23,Total Cognizable Crimes Under IPC,3205267,143072,4.5,2476194,77.3,586001,18.3
