Sl.No.,Year,Boys,Girls,Total,Percentage of Girls
1,1989,24777,11615,36392,31.9
2,1990,25269,5547,30816,18
3,1991,23201,6390,29591,21.6
4,1992,17474,3884,21358,18.2
5,1993,16391,3676,20067,18.3
6,1994,13852,3351,17203,19.5
7,1995,14542,4251,18793,22.6
8,1996,14068,5030,19098,26.3
9,1997,14282,3514,17796,19.7
10,1998,13974,4949,18923,26.2
11,1999,13088,5372,18460,29.1
