SI.No.,States/UT,Number of police Station (Sanctioned Strengh) - Below 10,Number of police Station (Sanctioned Strengh) - 11-20,Number of police Station (Sanctioned Strengh) - 21-30,Number of police Station (Sanctioned Strengh) - 31-40,Number of police Station (Sanctioned Strengh) - 41-50,Number of police Station (Sanctioned Strengh) - 51 and Above
1,Andhra Pradesh,110,869,270,121,69,135
2,Arunachal Pradesh,0,52,14,0,0,0
3,Assam,28,97,41,25,13,26
4,Bihar,0,0,0,0,0,0
5,Goa,0,0,1,1,12,11
6,Gujarat,1,6,69,82,85,216
7,Haryana,7,44,43,35,17,42
8,Himachal Pradesh,0,45,33,2,2,2
9,Jammu & Kashmir,2,7,27,32,24,35
10,Karnataka,0,3,74,358,178,158
11,Kerala,1,0,0,346,49,38
12,Madhya Pradesh,28,472,290,169,85,152
13,Maharashtra,1,72,135,127,96,432
14,Manipur,0,45,7,0,2,1
15,Meghalaya,0,3,9,12,2,0
16,Mizoram,NR,NR,NR,NR,NR,NR
17,Nagaland,5,5,13,8,5,8
18,Orissa,105,294,37,13,0,0
19,Punjab,NR,NR,NR,NR,NR,NR
20,Rajasthan,15,298,232,88,37,37
21,Sikkim,4,18,2,2,0,1
22,Tamil Nadu,88,498,357,197,122,140
23,Tripura,0,10,16,16,0,2
24,Uttar Pradesh,43,73,63,381,417,540
25,West Bengal,10,181,127,28,19,30
Total States,Total States,448,3092,1860,2043,1234,2006
26,A & N Islands,4,10,0,0,1,0
27,Chandigarh,0,0,0,0,0,11
28,D & N Haveli,0,0,0,0,0,2
29,Daman & DIU,0,0,0,0,0,2
30,Delhi,0,2,0,0,5,116
31,Lakshadweep,0,1,4,3,0,1
32,Pondicherry,8,12,12,3,1,1
Total (UTs),Total (UTs),12,0,16,6,7,133
Total (All-India),Total (All-India),460,3117,1876,2049,1241,2139
