SI.No.,States/UT/City,Number of cases in which property was stolen,Number of cases in which property was Recoverd,Value of propery (Rs.in Lakh) Stolen,Value of propery (Rs.in Lakh) Recovered
1,Andhra Pradesh,102,35,11.5,3.9
2,Arunachal Pradesh,1,0,0.8,0
3,Assam,111,43,7.8,6.8
4,Bihar,37,5,6,0.3
5,Goa,12,1,1.7,0
6,Gujarat,2,0,9.7,0
7,Haryana,1,0,0.1,0
8,Himachal Pradesh,14,4,1.2,0.2
9,Jammu & Kashmir,0,0,0,0
10,Karnataka,69,11,3.3,1.8
11,Kerala,9,6,29.4,3.7
12,Madhya Pradesh,438,142,28.2,12.6
13,Maharashtra,12,1,1,0
14,Manipur,2,1,0.5,0.4
15,Meghalaya,4,2,2,0.2
16,Mizoram,4,2,0.2,0.1
17,Nagaland,0,0,0,0
18,Orissa,44,27,2.2,1.4
19,Punjab,0,0,0,0
20,Rajasthan,77,11,62.7,57.8
21,Sikkim,2,2,0,0
22,Tamil Nadu,37,21,7.6,6.5
23,Tripura,0,0,0,0
24,Uttar Pradesh,39,9,4.8,3.9
25,West Bengal,443,45,53.7,4.1
Total States,Total States,1460,368,234.3,103.6
26,A & N Islands,0,0,0,0
27,Chandigarh,0,0,0,0
28,D & N Haveli,0,0,0,0
29,Daman & DIU,0,0,0,0
30,Delhi,0,0,0,0
31,Lakshadweep,0,0,0,0
32,Pondicherry,0,0,0,0
Total (UTs),Total (UTs),0,0,0,0
Total (All-India),Total (All-India),1460,368,234.3,103.6
