SI.No.,Year,Estimated Mid-Year Population (In Lakhs*),Percentage Change (Decadal ),Compound Growth Rate Per Annum
1,1995,9160,22,2
2,1996,93.9,21.6,2
3,1997,9552,22.2,2
4,1998,9709,21.9,2
5,1999,9866,21.5,2
