SI.No.,States/UT/City,Residential Permises - Number,Residential Permises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Bank - Number,Bank - Value,Commercial Establishments - Number,Commercial Establishments - Value,Others place - Number,Others Place - Value,Total - Number,Total - Value
36,Calcutta,2,5.6,3,6.9,0,0,0,0,0,0,5,11.4,14,44,24,67.9
37,Chennai,2,2.5,0,0,0,0,0,0,0,0,5,7.2,11,49.3,18,59
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Delhi,15,11,0,0,0,0,0,0,0,0,7,8.9,20,17.8,42,37.7
40,Hyderabad,2,1.7,0,0,0,0,0,0,0,0,0,0,1,2.5,3,4.2
41,Indore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Jaipur,1,0.3,1,0.8,0,0,0,0,0,0,3,14.3,3,0.5,8,15.9
43,Kanpur,17,8.4,1,15,0,0,0,0,0,0,1,0,5,0.1,24,23.4
44,Kochi,0,0,1,0.2,0,0,0,0,0,0,1,0.2,3,0.1,5,0.5
45,Lucknow,9,2,4,5.1,0,0,0,0,0,0,1,0.4,3,0.4,17,7.9
46,Ludhiana,6,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4
47,Madurai,0,0,0,0,0,0,0,0,0,0,1,0.1,6,7.3,7,7.3
48,Mumbai,4,11.1,8,154.9,1,0.3,0,0,2,12.3,27,107.5,32,122.8,74,408.9
49,Nagpur,7,3.3,0,0,0,0,0,0,0,0,5,0.2,9,12.2,21,15.6
50,Patna,31,36.5,15,9.2,0,0,0,0,1,4,4,2.1,18,3.2,69,55
51,Pune,16,7.2,1,44.2,0,0,0,0,0,0,1,0,7,2.9,25,54.3
52,Surat,7,1.9,2,0.3,0,0,0,0,0,0,4,5.8,4,12.4,17,20.4
53,Vadodra,2,0.2,2,0.1,0,0,0,0,0,0,5,27.3,2,0,11,27.6
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,3,1.1
