SI.No.,States/UT/City,No. of Vehicles Two Wheelers (Motor Cycle Scooters) - S,No. of Vehicles Two Wheelers (Motor Cycle Scooters) - R,No. of Vehicles Two Wheelers (Motor Cycle Scooters) - C,No. of Vehicles Four Wheelers(Private Owned) - S,No. of Vehicles Four Wheelers(Private Owned) - R,No. of Vehicles Four Wheelers(Private Owned) - C,No. of Vehicles Four Wheelers(Commercial) - S,No. of Vehicles Four Wheelers(Commercial) - R,No. of Vehicles Four Wheelers(Commercial) - C,No. of Vehicles Four Wheelers (Govt./Service Vehicles) - S,No. of Vehicles Four Wheelers (Govt./Service Vehicles) - R,No. of Vehicles Four Wheelers (Govt./Service Vehicles) - C,No. of Vehicles Others Motor Vehicles - S,No. of Vehicles Others Motor Vehicles - R,No. of Vehicles Others Motor Vehicles - C,No. of Vehicles Total Motor Vehicles - S,No. of Vehicles Total Motor Vehicles - R,No. of Vehicles Total Motor Vehicles - C
1,Andhra Pradesh,2383,1107,203,212,83,5,34,19,0,2,2,0,158,58,3,2789,1269,211
2,Arunachal Pradesh,33,19,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,0
3,Assam,188,44,8,70,14,0,2,2,0,0,0,0,40,15,3,300,75,11
4,Bihar,1103,284,74,192,54,9,44,17,1,0,0,0,16,3,0,1355,358,84
5,Goa,188,35,29,21,6,3,0,0,0,1,0,0,0,0,0,210,41,32
6,Gujarat,3659,1325,462,402,188,53,29,22,9,13,6,6,256,124,69,4359,1665,599
7,Haryana,1593,612,1,495,227,0,192,107,1,17,15,0,652,249,0,2949,1210,2
8,Himachal Pradesh,55,26,22,72,45,41,20,14,13,1,1,1,8,7,7,156,93,84
9,Jammu & Kashmir,190,18,0,150,23,0,7,2,0,0,0,0,16,10,0,363,53,0
10,Karnataka,3210,866,38,422,130,7,53,17,2,5,2,1,191,231,0,3881,1246,48
11,Kerala,515,185,43,242,96,17,58,24,14,15,6,1,140,82,52,970,393,127
12,Madhya Pradesh,3713,949,27,441,243,3,0,0,0,0,0,0,0,0,0,4154,1192,30
13,Maharashtra,5151,1677,1136,2183,527,445,422,143,143,9,3,1,689,298,255,8454,2648,1980
14,Manipur,59,10,0,19,3,0,0,0,0,0,0,0,0,0,0,78,13,0
15,Meghalaya,0,1,0,0,6,0,0,0,0,0,0,0,1,1,1,1,8,1
16,Mizoram,23,23,1,4,4,0,13,11,0,3,2,0,0,0,0,43,40,1
17,Nagaland,13,3,0,59,14,1,4,1,0,9,1,0,0,0,0,85,19,1
18,Orissa,50511,35117,10,12,9,7,27,15,0,0,0,0,109,22,1,50659,35163,18
19,Punjab,482,254,125,329,166,69,50,29,28,0,0,0,197,45,37,1058,494,259
20,Rajasthan,2921,1037,225,520,270,45,269,136,10,4,2,0,135,76,23,3849,1521,303
21,Sikkim,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,3552,2450,1074,186,120,67,120,81,17,3,2,1,56,51,48,3917,2704,1207
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,3386,674,24,1052,250,10,185,90,5,6,3,0,82,23,1,4711,1040,40
25,West Bengal,2077,543,57,361,82,88,149,0,121,0,0,0,0,0,0,2587,625,266
Total States,Total States,85005,47259,3559,7444,2560,870,1678,730,364,88,45,11,2746,1295,500,96961,51889,5304
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
27,Chandigarh,203,75,0,201,87,0,11,6,0,0,0,0,0,0,0,415,168,0
28,D & N Haveli,10,3,0,0,0,0,0,0,0,0,0,0,1,1,0,11,4,0
29,Daman & DIU,12,7,0,1,1,0,0,0,0,0,0,0,0,0,0,13,8,0
30,Delhi,2785,725,124,4497,1451,265,234,103,13,11,4,0,568,229,28,8095,2512,430
31,Lakshadweep,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
32,Pondicherry,188,95,95,6,2,2,1,1,1,1,0,0,0,0,0,196,98,98
Total (UTs),Total (UTs),3200,907,219,4705,1541,267,246,110,14,12,4,0,570,231,28,8733,2793,528
Total (All-India),Total (All-India),88205,48166,3778,12149,4101,1137,1924,840,378,100,49,11,3316,1526,528,105694,54682,5832
33,Ahmedabad,1196,451,204,147,61,24,1,0,0,1,1,1,80,49,31,1425,562,260
34,Bangalore,2123,507,0,269,58,0,19,4,0,4,1,0,169,223,0,2584,793,0
35,Bhopal,305,197,0,24,17,0,9,8,0,1,1,0,10,6,0,349,229,0
36,Calcutta,758,31,40,238,30,84,149,0,121,0,0,0,0,0,0,1145,61,245
37,Chennai,169,128,128,51,29,29,7,4,4,0,0,0,34,31,31,261,192,192
38,Coimbatore,190,138,0,9,6,0,0,0,0,0,0,0,0,0,0,199,144,0
39,Delhi,2744,714,122,4429,1429,261,231,102,13,11,4,0,561,226,28,7976,2475,424
40,Hyderabad,888,209,0,115,13,0,1,0,0,0,0,0,107,33,0,1111,255,0
41,Indore,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
42,Jaipur,815,358,0,102,73,0,46,23,0,0,0,0,7,6,0,970,460,0
43,Kanpur,234,42,0,99,24,0,6,4,0,0,0,0,76,0,0,415,70,0
44,Kochi,98,25,9,27,5,3,0,0,0,0,0,0,10,2,2,135,32,14
45,Lucknow,361,38,16,87,10,1,20,10,2,1,0,0,5,5,0,474,63,19
46,Ludhiana,98,45,45,139,46,46,6,5,5,0,0,0,3,3,3,246,99,99
47,Madurai,119,70,70,9,0,0,4,2,2,0,0,0,7,7,7,139,79,79
48,Mumbai,1185,285,415,1488,262,316,247,63,95,0,0,0,423,142,167,3343,752,993
49,Nagpur,632,156,138,45,19,16,0,0,0,0,0,0,4,3,3,681,178,157
50,Patna,257,19,0,64,6,0,0,0,0,0,0,0,5,2,0,326,27,0
51,Pune,1080,498,267,99,71,37,13,5,5,0,0,0,74,43,38,1266,617,347
52,Surat,670,232,0,50,33,0,0,0,0,0,0,0,55,32,0,775,297,0
53,Vadodra,446,201,100,50,14,9,9,8,1,1,0,0,23,13,8,529,236,118
54,Varanasi,116,10,2,16,2,0,4,0,0,0,0,0,1,0,0,137,12,2
55,Vishakhapatnam,127,52,0,16,12,0,0,0,0,0,0,0,0,0,0,143,64,0
Total Cities,Total Cities,14611,4406,1556,7573,2220,826,772,238,248,19,7,1,1654,826,318,24629,7697,2949
