SI.No.,States/UT/City,DG/Addl.DG/IG/DIG - Sanctioned,DG/Addl.DG/IG/DIG - Actual,SSP/SP/Addl.SP./ASP/Dy. SP. /Assit.Comdt. - Sanctioned,SSP/SP/Addl.SP./ASP/Dy. SP. /Assit.Comdt. - Actual,"Inspector ,SI & A.S.I. - Sanctioned","Inspector ,SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,Andhra Pradesh,0,0,74,64,1097,789,12308,11117,13479,11970
2,Arunachal Pradesh,0,0,24,20,81,78,2186,2138,2291,2236
3,Assam,0,0,180,170,887,880,22422,21834,23489,22884
4,Bihar,7,7,124,64,1480,1097,21363,15805,22974,16973
5,Goa,0,0,7,4,41,27,643,578,691,609
6,Gujarat,0,0,45,41,1403,1536,10639,9683,12087,11260
7,Haryana,0,0,16,15,297,286,4386,2436,4699,2737
8,Himachal Pradesh,3,3,20,20,217,219,4065,3268,4305,3510
9,Jammu & Kashmir,5,6,197,154,840,760,15596,14731,16638,15651
10,Karnataka,0,0,0,0,0,0,0,0,0,0
11,Kerala,0,0,49,43,312,290,7900,4210,8261,4543
12,Madhya Pradesh,9,9,162,162,2673,2673,25213,25213,28057,28057
13,Maharashtra,3,4,77,39,1008,907,13969,12462,15057,13412
14,Manipur,4,3,90,82,325,325,9133,9062,9552,9472
15,Meghalaya,0,0,23,23,138,131,4837,4147,4998,4301
16,Mizoram,0,0,43,37,145,121,3645,3562,3833,3720
17,Nagaland,0,0,68,72,321,357,7911,8360,8300,8789
18,Orissa,0,0,84,53,524,408,7637,7078,8245,7539
19,Punjab,11,11,214,214,970,970,16767,16767,17962,17962
20,Rajasthan,3,3,97,55,406,341,10962,10422,11468,10821
21,Sikkim,1,1,12,5,78,21,1826,906,1917,933
22,Tamil Nadu,3,3,66,36,485,425,10340,9386,10894,9850
23,Tripura,0,0,60,16,187,108,6270,4684,6517,4808
24,Uttar Pradesh,13,13,170,119,1246,831,33568,32829,34997,33792
25,West Bengal,7,7,142,127,1065,956,32163,30922,33377,32012
Total States,Total States,69,70,2044,1635,16226,14536,285749,261600,304088,277841
26,A & N Islands,1,1,3,2,33,33,720,705,757,741
27,Chandigarh,0,0,2,2,46,46,1469,1469,1517,1517
28,D & N Haveli,0,0,0,0,2,2,94,94,96,96
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0
30,Delhi,0,0,54,54,527,521,10039,10040,10620,10615
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,2,2,37,12,842,947,881,961
Total (UTs),Total (UTs),1,1,61,60,645,614,13164,13255,13871,13930
Total (All-India),Total (All-India),70,71,2105,1695,16871,15150,298913,274855,317959,291771
33,Ahmedabad,0,0,0,3,392,403,2379,2379,2771,2785
34,Bangalore,0,0,17,16,238,194,3637,3502,3892,3712
35,Bhopal,0,0,0,0,0,0,0,0,0,0
36,Calcutta,1,1,42,41,352,313,7743,7588,8138,7943
37,Chennai,0,0,14,14,239,217,3670,3158,3923,3389
38,Coimbatore,0,0,0,0,0,0,0,0,0,0
39,Delhi,0,0,54,54,527,521,10039,10040,10620,10615
40,Hyderabad,0,0,0,0,0,0,0,0,0,0
41,Indore,0,0,0,0,0,0,0,0,0,0
42,Jaipur,0,0,0,0,0,0,0,0,0,0
43,Kanpur,0,0,0,0,27,21,1359,1225,1386,1246
44,Kochi,0,0,5,5,44,39,732,724,781,768
45,Lucknow,0,0,0,0,0,0,0,0,0,0
46,Ludhiana,0,0,0,0,0,0,0,0,0,0
47,Madurai,0,0,0,0,0,0,0,0,0,0
48,Mumbai,0,0,0,0,0,0,0,0,0,0
49,Nagpur,0,0,0,0,68,68,1304,1304,1372,1372
50,Patna,0,0,0,0,0,0,0,0,0,0
51,Pune,0,0,0,0,84,79,1435,1422,1519,1501
52,Surat,0,0,1,1,113,195,794,794,908,990
53,Vadodra,0,0,0,0,0,0,0,0,0,0
54,Varanasi,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0,0,604,0,604,0
