SI.No.,States/UT/City,Number of Victims Killed In Terrorist extremists operation,Number of Victims Killed In Dacoity operation or other Raids,Number of Victims Killed By Roitous Mobs,Number of Victims Killed by other Criminals,Number of Victims Killed on Border Duties,Number of Victims Killed In Accidents,Number of Victims Killed - Total,Number of Victims Injured In Terrorist/Extramists Operations,Number of Victims Injured In Dacoity Operation or Other Raids,Number of Victims Injured By Riotousmobs,Number of Victims Injured By otherCriminals,Number of Victims Injured on Border Duties,Number of Victims Injured in Accidents,Number of Victims Injured - Total
1,Andhra Pradesh,32,0,0,1,0,45,78,32,9,70,23,0,34,168
2,Arunachal Pradesh,0,1,0,0,0,0,1,0,1,0,0,0,0,1
3,Assam,14,1,0,42,0,4,61,9,12,6,54,0,13,94
4,Bihar,28,2,5,11,0,12,58,51,17,15,20,4,14,121
5,Goa,0,0,0,0,0,1,1,0,0,19,7,0,1,27
6,Gujarat,0,0,0,1,0,38,39,0,7,208,13,0,24,252
7,Haryana,0,1,0,0,0,35,36,0,1,1,2,0,19,23
8,Himachal Pradesh,8,0,0,0,0,11,19,0,0,0,3,0,0,3
9,Jammu & Kashmir,85,0,0,5,0,14,104,161,0,0,16,3,41,221
10,Karnataka,0,0,0,0,0,9,9,0,1,213,31,0,22,267
11,Kerala,0,0,0,0,0,9,9,0,1,187,122,7,47,364
12,Madhya Pradesh,3,4,0,35,0,32,74,4,12,148,35,1,41,241
13,Maharashtra,0,1,1,6,0,53,61,0,54,157,116,1,62,390
14,Manipur,0,0,0,6,0,3,9,1,0,4,0,1,5,11
15,Meghalaya,1,0,0,9,0,0,10,1,0,0,10,0,0,11
16,Mizoram,5,0,0,0,0,1,6,2,0,0,0,0,0,2
17,Nagaland,2,0,0,1,0,1,4,9,0,0,0,0,2,11
18,Orissa,0,0,0,1,0,1,2,0,23,12,8,0,6,49
19,Punjab,0,0,0,3,3,79,85,0,0,0,0,0,32,32
20,Rajasthan,0,3,0,4,0,41,48,0,3,33,28,0,57,121
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,0,0,0,2,0,18,20,0,1,172,46,0,175,394
23,Tripura,21,0,0,36,0,0,57,10,0,0,11,0,0,21
24,Uttar Pradesh,1,6,0,12,3,73,95,0,25,39,57,1,43,165
25,West Bengal,0,2,0,1,0,19,22,1,44,229,140,0,73,487
Total States,Total States,200,21,6,176,6,499,908,281,211,1513,742,18,711,3476
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,2,2,0,0,26,0,0,15,41
28,D & N Haveli,0,3,0,0,0,0,3,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,0,2,0,1,0,16,19,0,0,132,49,0,58,239
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,1,0,7,8
Total (UTs),Total (UTs),0,5,0,1,0,18,24,0,0,158,50,0,80,288
Total (All-India),Total (All-India),200,26,6,177,6,517,932,281,211,1671,792,18,791,3764
33,Ahmedabad,0,0,0,0,0,7,7,0,0,10,0,0,0,10
34,Bangalore,0,0,0,0,0,0,0,0,0,25,12,0,1,38
35,Bhopal,0,0,0,0,0,2,2,0,0,29,0,0,0,29
36,Calcutta,0,0,0,1,0,7,8,0,3,0,14,0,53,70
37,Chennai,0,0,0,0,0,0,0,0,0,23,0,0,33,56
38,Coimbatore,0,0,0,0,0,2,2,0,0,0,0,0,5,5
39,Delhi,0,2,0,1,0,16,19,0,0,132,49,0,58,239
40,Hyderabad,0,0,0,1,0,3,4,2,0,8,2,0,5,17
41,Indore,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Jaipur,0,0,0,0,0,25,25,0,0,0,0,0,37,37
43,Kanpur,0,0,0,0,0,5,5,0,2,0,3,0,0,5
44,Kochi,0,0,0,0,0,1,1,0,0,0,4,4,20,28
45,Lucknow,0,0,0,3,0,2,5,0,0,0,0,0,0,0
46,Ludhiana,0,0,0,0,0,2,2,0,0,0,0,0,0,0
47,Madurai,0,0,0,0,0,0,0,0,0,0,5,0,0,5
48,Mumbai,0,0,0,0,0,0,0,0,2,7,20,0,0,29
49,Nagpur,0,0,0,1,0,1,2,0,0,4,1,0,4,9
50,Patna,0,0,0,0,0,0,0,0,2,0,0,0,0,2
51,Pune,0,0,0,0,0,2,2,0,0,4,10,0,4,18
52,Surat,0,0,0,0,0,0,0,0,4,158,0,0,0,162
53,Vadodra,0,0,0,0,0,2,2,0,0,3,1,0,1,5
54,Varanasi,0,0,0,0,0,0,0,0,0,0,6,0,0,6
55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Cities,Total Cities,0,2,0,7,0,77,86,2,13,403,127,4,221,770
