SI.No.,States/UT,Disposal of Cases under - Murder - CF,Disposal of Cases under - Murder - TR,Disposal of Cases under - Murder - TL,Disposal of Cases under - Attempt To Commit Murder - CF,Disposal of Cases under - Attempt To Commit Murder - TR,Disposal of Cases under - Attempt To Commit Murder - TL,Disposal of Cases under - C.H. Not Amounting to Murder - CF,Disposal of Cases under - C.H. Not Amounting to Murder - TR,Disposal of Cases under - C.H. Not Amounting to Murder - TL,Disposal of Cases under - Rape - CF,Disposal of Cases under - Rape - TR,Disposal of Cases under - Rape - TL,Disposal of Cases under - Kidnapping & Abuduction - CF,Disposal of Cases under - Kidnapping & Abuduction - TR,Disposal of Cases under - Kidnapping & Abuduction - TL,Disposal of Cases under - Women & Girls - CF,Disposal of Cases under - Women & Girls - TR,Disposal of Cases under - Women & Girls - TL,Disposal of Cases under - Others - CF,Disposal of Cases under - Others - TR,Disposal of Cases under - Others - TL,Disposal of Cases Under - Dacoiy - CF,Disposal of Cases Under - Dacoiy - TR,Disposal of Cases Under - Dacoiy - TL,Disposal of Cases under - Preparation & Assembly for Dacoity - CF,Disposal of Cases under - Preparation & Assembly for Dacoity - TR,Disposal of Cases under - Preparation & Assembly for Dacoity - TL,Disposal of Cases under - Robbery - CF,Disposal of Cases under - Robbery - TR,Disposal of Cases under - Robbery - TL,Disposal of Cases under - Riot - CF,Disposal of Cases under - Riot - TR,Disposal of Cases under - Riot - TL,Disposal of Cases under - Arson - CF,Disposal of Cases under - Arson - TR,Disposal of Cases under - Arson - TL,Disposal of Cases under - Dowry Death - CF,Disposal of Cases under - Dowry Death - TR,Disposal of Cases under - Dowry Death - TL,Disposal of Cases under - Total - CF,Disposal of Cases under - Total - TR,Disposal of Cases under - Total - TL
1,Andhra Pradesh,12,1943,1955,2,964,966,1,85,86,0,766,766,4,502,506,3,330,333,1,172,173,0,455,455,0,5,5,7,592,599,12,2550,2562,1,544,545,0,404,404,39,8810,8849
2,Arunachal Pradesh,0,6,6,0,9,9,0,0,0,0,5,5,0,4,4,0,4,4,0,0,0,0,3,3,0,0,0,0,38,38,0,5,5,0,0,0,0,0,0,0,70,70
3,Assam,31,811,842,6,184,190,0,23,23,7,459,466,3,461,464,2,404,406,1,57,58,1,291,292,0,11,11,4,356,360,1,1562,1563,1,246,247,0,11,11,54,4415,4469
4,Bihar,27,3087,3114,13,2850,2863,34,375,409,11,1007,1018,9,1375,1384,7,665,672,2,710,712,26,1203,1229,1,200,201,7,1282,1289,14,8044,8058,0,217,217,4,417,421,146,20057,20203
5,Goa,0,36,36,0,7,7,0,6,6,0,7,7,0,7,7,0,6,6,0,1,1,0,3,3,0,0,0,1,20,21,0,140,140,0,9,9,0,0,0,1,235,236
6,Gujarat,32,539,571,0,266,266,0,5,5,3,138,141,9,297,306,8,261,269,1,36,37,0,111,111,0,1,1,0,297,297,11,906,917,1,215,216,0,26,26,56,2801,2857
7,Haryana,2,439,441,1,360,361,0,65,65,1,295,296,2,194,196,1,138,139,1,56,57,0,47,47,0,49,49,0,116,116,3,673,676,0,82,82,0,231,231,9,2551,2560
8,Himachal Pradesh,0,88,88,0,42,42,0,0,0,0,74,74,1,44,45,0,36,36,1,8,9,0,2,2,0,0,0,1,0,1,25,186,211,2,40,42,0,4,4,29,480,509
9,jammu & Kashmir,3,81,84,0,126,126,0,8,8,0,80,80,0,134,134,0,119,119,0,15,15,0,14,14,0,0,0,0,24,24,1,233,234,0,19,19,0,3,3,45,722,726
10,Karnataka,5,1133,1138,3,870,873,0,60,60,0,198,198,1,218,219,0,124,124,1,94,95,0,168,168,0,7,7,1,365,366,133,5041,5174,0,293,293,0,61,61,143,8414,8557
11,Kerala,1,222,223,0,181,181,1,34,35,3,167,170,0,73,73,0,45,45,0,28,28,0,30,30,0,10,10,2,95,97,123,2492,2615,1,128,129,0,2,2,131,3434,3565
12,Madhya Pradesh,0,3072,3072,0,3449,3449,0,173,173,0,3187,3187,0,977,977,0,798,798,0,179,179,0,235,235,0,151,151,0,1055,1055,0,2451,2451,0,855,855,0,527,527,0,16132,16132
