SI.No.,States/UT/City,Residential Permises  - Number,Residential Permises  - Value,Highways  - Number,Highways  - Value,River & Sea  - Number,River & Sea  - Value,Railways  - Number,Railways  - Value,Bank  - Number,Bank  - Value,Commercial Establishments  - Number,Commercial Establishments  - Value,Others place  - Number,Others Place  - Value,Total  - Number,Total  - Value
1,Andhra Pradesh,5146,983.7,3,3.5,0,0,1,0,33,3.4,760,128.6,836,97.6,6779,1216.8
2,Arunachal Pradesh,148,43.7,0,0,0,0,0,0,0,0,60,14.2,50,9.5,258,67.4
3,Assam,1794,151.7,119,1.2,0,0,3,1.1,1,0,411,69,1199,56.2,3527,279.2
4,Bihar,4290,237.1,1,0,0,0,6,1,6,1,290,42.9,667,57.7,5260,339.8
5,Goa,229,85.9,0,0,0,0,0,0,7,0,101,26.4,90,25.4,427,137.6
6,Gujarat,3987,1139.2,2,0.2,1,0.1,120,25.5,15,1.2,982,260.2,954,180.3,6061,1606.7
7,Haryana,2774,455.6,0,0,0,0,1,0.8,21,2.3,617,105.9,304,40.8,3717,605.4
8,Himachal Pradesh,468,109.4,0,0,0,0,0,0,10,2.9,248,50.1,234,16.8,960,179.2
9,Jammu & Kashmir,877,169.4,0,0,0,0,0,0,0,0,102,27.7,315,44.6,1294,241.8
10,Karnataka,6076,1118.3,9,0.9,0,0,2,0.1,37,40.9,1139,461.7,1106,267.7,8369,1889.7
11,Kerala,2515,648.3,0,0,2,0.1,39,1.4,0,0,887,225.3,1062,227.3,4505,1102.4
12,Madhya Pradesh,14274,1134.3,45,3.5,1,0,1,0.2,33,1.7,1559,153.9,2265,185.8,18178,1479.4
13,Maharashtra,11152,2518,0,0,0,0,7,1.1,48,12.1,2284,924.5,2244,723.3,15735,4179
14,Manipur,39,8.7,0,0,0,0,0,0,0,0,0,0,39,7.6,78,16.3
15,Meghalaya,86,4.3,0,0,0,0,0,0,0,0,37,10.9,32,2.3,155,17.4
16,Mizoram,266,22.2,0,0,0,0,0,0,0,0,92,12.3,116,9,474,43.5
17,Nagaland,66,14.5,0,0,0,0,0,0,0,0,33,28.5,46,20.6,145,63.6
18,Orissa,3258,336.5,0,2,0,0,0,0,16,12,552,123,522,136.4,4348,609.9
19,Punjab,901,330.6,18,4,0,0,0,0,6,2.7,141,83.2,284,139.4,1350,559.9
20,Rajasthan,5834,786.1,1,0,0,0,2,0,11,7.1,799,163,2324,154.7,8971,1111
21,Sikkim,55,8.1,2,0.1,0,0,0,0,0,0,0,0,16,1.9,73,10.1
22,Tamil Nadu,4097,709.8,1,0,0,0,2,0.2,32,3.8,446,231.7,1278,200.8,5856,1146.3
23,Tripura,200,20,0,0,0,0,0,0,0,0,6,0.5,35,9.8,241,30.3
24,Uttar Pradesh,8013,1166.6,2,0,0,0,0,0,0,0,157,15.2,1909,247.5,10081,1429.4
25,West Bengal,338,174.2,0,0,0,0,0,0,0,0,26,18.9,169,59.6,533,252.7
Total States,Total States,76883,12376.4,203,15.4,4,0.2,184,31.3,276,91.2,11729,3177.5,18096,2922.7,107375,18614.8
26,A & N Islands,56,8.3,0,0,0,0,0,0,0,0,17,4.8,6,0.3,79,13.4
27,Chandigarh,173,49.3,0,0,0,0,0,0,1,0,42,19.2,18,5.2,234,73.7
28,D & N Haveli,24,5.7,0,0,0,0,0,0,0,0,10,7.3,8,0.2,42,13.3
29,Daman & DIU,26,6.6,0,0,0,0,0,0,0,0,13,27.6,3,0.1,42,34.4
30,Delhi,2401,514.5,110,28.3,0,0,3,0.1,0,0,509,168.1,406,160.9,3429,871.9
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
32,Pondicherry,52,9.9,0,0,0,0,0,0,0,0,12,0.9,28,1.1,92,12
Total (UTs),Total (UTs),2732,594.5,110,28.3,0,0,3,0.1,1,0,603,228,472,167.8,3921,1018.6
Total (All-India),Total (All-India),79615,12970.9,313,43.7,4,0.2,187,31.4,277,91.2,12332,3405.5,18568,3090.5,111296,19633.4
33,Ahmedabad,520,183.2,0,0,0,0,0,0,0,0,241,59.2,51,29.7,812,272.1
34,Bangalore,2324,610.7,0,0,0,0,0,0,6,0.1,474,273.1,164,31.7,2968,915.6
35,Bhopal,518,67.6,0,0,0,0,0,0,0,0,102,24,75,9.4,695,101
36,Calcutta,78,59.6,0,0,0,0,0,0,0,0,25,18.9,28,15.2,131,93.6
37,Chennai,363,88.9,0,0,0,0,0,0,1,0,61,118.9,50,2.2,475,210
38,Coimbatore,120,37.9,0,0,0,0,0,0,0,0,12,6.4,42,0.2,174,44.5
39,Delhi,2253,473.5,107,28.1,0,0,3,0.1,0,0,371,129.2,334,157,3068,787.9
40,Hyderabad,1079,388.9,0,0,0,0,0,0,0,0,146,17.7,0,0,1225,406.6
41,Indore,512,76.8,0,0,0,0,0,0,0,0,32,4.8,168,26.2,712,107.9
42,Jaipur,582,100,0,0,0,0,0,0,0,0,206,98.2,36,1.8,824,200
43,Kanpur,284,46.2,0,0,0,0,0,0,0,0,0,0,45,4.7,329,50.9
44,Kochi,107,41.8,0,0,0,0,0,0,0,0,60,26.2,28,3.9,195,71.9
45,Lucknow,572,84.1,0,0,0,0,0,0,0,0,0,0,52,6.8,624,90.9
46,Ludhiana,81,40.7,0,0,0,0,0,0,1,0.3,35,37.7,10,3.8,127,82.5
47,Madurai,71,20.8,0,0,0,0,0,0,0,0,23,2.8,43,1.2,137,24.8
48,Mumbai,1640,994.5,0,0,0,0,0,0,4,0.3,560,480.3,559,427.9,2763,1903
49,Nagpur,933,104.5,0,0,0,0,0,0,5,3.6,216,49.5,216,9.9,1370,167.5
50,Patna,228,2.2,0,0,0,0,0,0,0,0,35,0.1,86,0.7,349,3
51,Pune,587,161.8,0,0,0,0,0,0,4,0,251,73.6,15,0.7,857,236.2
52,Surat,345,128.5,0,0,0,0,0,0,3,0,14,9.8,91,8.6,453,146.9
53,Vadodra,367,223.1,0,0,0,0,0,0,1,0,32,16.6,26,32.4,426,272.1
54,Varanasi,138,9.3,0,0,0,0,0,0,0,0,0,0,27,6.1,165,15.4
55,Vishakhapatnam,320,33.6,0,0,0,0,0,0,0,0,0,0,0,0,320,33.6
