SI.No. (1),States/UT/City (2),Age Group - 18-25 Years (3),Age Group - 26-35 Years (4),Age Group - 36-45 Years (5),Age Group  - 46-55 Years (6),Age Group - above 55 Years (7),Age Group - Total (Col.3 to 7) (8)
1,Andhra Pradesh,2,38,27,9,2,78
2,Arunachal Pradesh,0,0,1,0,0,1
3,Assam,10,29,14,6,2,61
4,Bihar,2,27,20,8,1,58
5,Goa,0,0,1,0,0,1
6,Gujarat,0,9,21,7,2,39
7,Haryana,3,13,14,5,1,36
8,Himachal Pradesh,2,6,5,6,0,19
9,Jammu & Kashmir,37,40,24,3,0,104
10,Karnataka,0,4,0,5,0,9
11,Kerala,0,0,4,5,0,9
12,Madhya Pradesh,7,27,18,16,6,74
13,Maharashtra,1,30,20,8,2,61
14,Manipur,0,0,7,2,0,9
15,Meghalaya,1,4,4,1,0,10
16,Mizoram,0,5,1,0,0,6
17,Nagaland,0,2,2,0,0,4
18,Orissa,0,2,0,0,0,2
19,Punjab,3,43,25,13,1,85
20,Rajasthan,4,14,18,10,2,48
21,Sikkim,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,0,5,6,7,2,20
23,Tripura,33,23,1,0,0,57
24,Uttar Pradesh,8,29,44,12,2,95
25,West Bengal,0,7,6,7,2,22
Total States,Total States,113,357,283,130,25,908
26,A & N Islands,0,0,0,0,0,0
27,Chandigarh,0,0,2,0,0,2
28,D & N Haveli,0,2,1,0,0,3
29,Daman & DIU,0,0,0,0,0,0
30,Delhi,3,8,5,2,1,19
31,Lakshadweep,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0
Total (UTs),Total (Uts),3,10,8,2,1,24
Total (All-India),Total (All -India),116,367,291,132,26,932
33,Ahmedabad,0,2,2,1,2,7
34,Bangalore,0,0,0,0,0,0
35,Bhopal,1,1,0,0,0,2
36,Calcutta,0,1,1,5,1,8
37,Chennai,0,0,0,0,0,0
38,Coimbatore,0,2,0,0,0,2
39,Delhi,3,8,5,2,1,19
40,Hyderabad,0,0,4,0,0,4
41,Indore,0,0,0,0,0,0
42,Jaipur,2,4,13,5,1,25
43,Kanpur,0,2,2,1,0,5
44,Kochi,0,0,0,1,0,1
45,Lucknow,1,1,1,2,0,5
46,Ludhiana,0,1,0,1,0,2
47,Madurai,0,0,0,0,0,0
48,Mumbai,0,0,0,0,0,0
49,Nagpur,0,1,1,0,0,2
50,Patna,0,0,0,0,0,0
51,Pune,0,0,2,0,0,2
52,Surat,0,0,0,0,0,0
53,Vadodra,0,0,0,2,0,2
54,Varanasi,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0,0
Total Cities,Total Cities,7,23,31,20,5,86
