SI.No.,States/UT/City,By Education - Illiterate,By Education - primary,By Education - Above primary But Below H.Sec.,By Education - Matric /H.Sec. & Above,By Education - Total,By Family Background - Living withparents,By Family Background - Living with Guardians,By Family Background - Home Less,By Family Background - Total,By Economic setup - Annual Income (up to Rs. 25000),By Economic setup - Annual Income (25001 to Rs. 50000),By Economic setup - middle Income (from 50001 to Rs. 100000),By Economic setup - Middle Income (from 100001 to Rs. 200000),By Economic setup - upper Middle Income (from 200001 to Rs. 300000),By Economic setup - upper Middle Income (above Rs. 300000),By Economic setup - Total,By Recidivism - New Delinquent,By Recidivism - old Delinquent,By Recidivism - Total
1,Andhra Pradesh,457,407,188,42,1094,690,210,194,1094,889,147,57,1,0,0,1094,927,167,1094
2,Arunachal Pradesh,12,13,29,0,54,35,19,0,54,15,36,3,0,0,0,54,54,0,54
3,Assam,99,85,62,4,250,118,70,62,250,197,28,15,6,4,0,250,215,35,250
4,Bihar,416,313,92,32,853,500,269,84,853,438,273,84,50,4,4,853,648,205,853
5,Goa,3,11,10,6,30,23,1,6,30,29,1,0,0,0,0,30,30,0,30
6,Gujarat,702,914,434,76,2126,1851,209,66,2126,1653,362,90,17,4,0,2126,1893,233,2126
7,Haryana,98,127,135,44,404,383,11,10,404,303,64,35,2,0,0,404,377,27,404
8,Himachal Pradesh,3,23,30,12,68,57,7,4,68,25,25,12,3,3,0,68,68,0,68
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,137,153,68,5,363,298,20,45,363,253,47,58,0,5,0,363,358,5,363
11,Kerala,18,24,22,2,66,47,10,9,66,62,0,3,1,0,0,66,66,0,66
12,Madhya Pradesh,1208,1450,681,361,3700,2651,597,452,3700,2086,1139,380,42,53,0,3700,3608,92,3700
13,Maharashtra,598,1579,717,115,3009,2647,248,114,3009,2392,517,73,18,9,0,3009,2597,412,3009
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,16,2,5,0,23,11,12,0,23,11,10,1,0,1,0,23,21,2,23
16,Mizoram,0,31,16,0,47,42,5,0,47,31,15,1,0,0,0,47,37,10,47
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,114,28,43,12,197,150,34,13,197,107,50,28,10,2,0,197,197,0,197
19,Punjab,3,12,11,0,26,25,0,1,26,9,14,3,0,0,0,26,26,0,26
20,Rajasthan,259,353,246,46,904,712,159,33,904,787,84,28,3,2,0,904,835,69,904
21,Sikkim,1,7,3,0,11,7,4,0,11,3,3,0,5,NR,NR,11,11,0,11
22,Tamil Nadu,2002,2423,326,0,4751,2996,918,837,4751,4751,0,0,0,0,0,4751,4080,671,4751
23,Tripura,12,5,0,0,17,5,2,10,17,7,5,5,0,0,0,17,5,12,17
24,Uttar Pradesh,0,17,13,4,34,23,9,2,34,30,4,0,0,0,0,34,34,0,34
25,West Bengal,4,10,4,0,18,12,1,5,18,13,5,0,0,0,0,18,18,0,18
Total States,Total States,6162,7987,3135,761,18045,13283,2815,1947,18045,14091,2829,876,158,87,4,18045,16105,1940,18045
26,A & N Islands,0,0,3,0,3,3,0,0,3,0,3,0,0,0,0,3,3,0,3
27,Chandigarh,8,6,11,5,30,21,7,2,30,7,18,5,0,0,0,30,30,0,30
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,171,89,95,17,372,323,25,24,372,160,103,66,35,5,3,372,354,18,372
31,Lakshadweep,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1
32,Pondicherry,4,4,1,0,9,7,0,2,9,8,1,0,0,0,0,9,9,0,9
Total (UTs),Total (UTs),183,100,110,22,415,355,32,28,415,175,126,71,35,5,3,415,397,18,415
Total (All-India),Total (All-India),6345,8087,3245,783,18460,13638,2847,1975,18460,14266,2955,947,193,92,7,18460,16502,1958,18460
33,Ahmedabad,46,149,52,13,260,245,12,3,260,260,0,0,0,0,0,260,253,7,260
34,Bangalore,61,36,12,0,109,91,3,15,109,104,1,4,0,0,0,109,106,3,109
35,Bhopal,0,3,0,0,3,3,0,0,3,0,3,0,0,0,0,3,3,0,3
36,Calcutta,0,3,1,0,4,4,0,0,4,0,4,0,0,0,0,4,4,0,4
37,Chennai,25,16,3,0,44,30,11,3,44,25,16,3,0,0,0,44,28,16,44
38,Coimbatore,44,22,0,0,66,58,3,5,66,60,5,1,0,0,0,66,64,2,66
39,Delhi,171,89,95,17,372,323,25,24,372,160,103,66,35,5,3,372,354,18,372
40,Hyderabad,43,71,25,5,144,37,15,92,144,23,68,53,0,0,0,144,66,78,144
41,Indore,31,164,3,0,198,198,0,0,198,10,86,83,19,0,0,198,198,0,198
42,Jaipur,60,39,20,4,123,105,13,5,123,105,18,0,0,0,0,123,113,10,123
43,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Ludhiana,0,3,10,0,13,5,8,0,13,4,9,0,0,0,0,13,13,0,13
47,Madurai,4,314,26,0,344,209,130,5,344,266,0,65,11,2,0,344,339,5,344
48,Mumbai,55,520,80,0,655,597,38,20,655,655,0,0,0,0,0,655,576,79,655
49,Nagpur,49,122,10,0,181,181,0,0,181,155,26,0,0,0,0,181,152,29,181
50,Patna,27,25,0,0,52,29,14,9,52,42,10,0,0,0,0,52,47,5,52
51,Pune,48,84,48,2,182,165,15,2,182,182,0,0,0,0,0,182,172,10,182
52,Surat,125,47,34,23,229,139,58,32,229,229,0,0,0,0,0,229,104,125,229
53,Vadodra,21,31,67,19,138,114,18,6,138,85,33,20,0,0,0,138,138,0,138
54,Varanasi,0,2,0,0,2,2,0,0,2,2,0,0,0,0,0,2,2,0,2
55,Vishakhapatnam,15,31,19,13,78,58,20,0,78,78,0,0,0,0,0,78,55,23,78
Total Cities,Total Cities,825,1771,505,96,3197,2593,383,221,3197,2445,382,295,65,7,3,3197,2787,410,3197
