SI.No.,States/UT,Incidence,Percentage Contribution to All India Total,Estimated Mid Year Population (In Lakhs),Rate of Total Cog. Crimes,Rank*,Rank**
1,Andhra Pradesh,1749,7,750.1,2.3,7,5
2,Arunachal Pradesh,0,0,11.7,0,NA,NA
3,Assam,7,0,259.8,0,21,19
4,Bihar,820,3.3,987.3,0.8,12,8
5,Goa,0,0,15.6,0,NA,NA
6,Gujarat,1781,7.1,477.6,3.7,3,4
7,Haryana,121,0.5,196.4,0.6,15,12
8,Himachal Pradesh,54,0.2,66,0.8,13,13
9,Jammu & Kashmir,13,0.1,97.9,0.1,18,18
10,Karnataka,1277,5.1,516.5,2.5,6,6
11,Kerala,514,2,320.8,1.6,9,11
12,Madhya Pradesh,4667,18.6,788.1,5.9,2,3
13,Maharashtra,605,2.4,904.5,0.7,14,10
14,Manipur,0,0,24.7,0,NA,NA
15,Meghalaya,1,0,23.8,0,20,21
16,Mizoram,2,0,9.3,0.2,16,20
17,Nagaland,0,0,16.5,0,NA,NA
18,Orissa,772,3.1,356.4,2.2,8,9
19,Punjab,39,0.2,233.7,0.2,17,14
20,Rajasthan,5623,22.4,529.4,10.6,1,2
21,Sikkim,12,0,5.5,2.2,5,16
22,Tamil Nadu,883,3.5,614.3,1.4,10,7
23,Tripura,0,0,37,0,NA,NA
24,Uttar Pradesh,6122,24.4,1676.6,3.7,4,1
25,West Bengal,0,0,783.2,0,NA,NA
Total States,Total States,25062,99.9,9703,2.6,NA,NA
26,A & N Islands,0,0,3.8,0,NA,NA
27,Chandigarh,0,0,8.7,0,NA,NA
28,D & N Haveli,0,0,1.9,0,NA,NA
29,Daman & DIU,0,0,1.4,0,NA,NA
30,Delhi,18,0.1,136,0.1,19,15
31,Lakshadweep,0,0,0.7,0,NA,NA
32,Pondicherry,13,0.1,10.9,1.2,11,17
Total (UTs),Total (UTs),31,0.1,163.4,0.2,NA,NA
Total (All-India),Total (All-India),25093,100,9866.4,2.5,NA,NA
