Above / Below All-India Average (13.5%),Sl. No.,State Name,% Share
Above All-India Average,1,Tripura,36.3
Above All-India Average,2,Nagaland,31.8
Above All-India Average,3,Sikkim,28.9
Above All-India Average,4,Meghalaya,28.3
Above All-India Average,5,Assam,26.8
Above All-India Average,6,Bihar,26.5
Above All-India Average,7,Jammu Kashmir,23
Above All-India Average,8,Uttar Pradesh,21.9
Above All-India Average,9,Manipur,21.6
Above All-India Average,10,Arunachal Pradesh,19.4
Above All-India Average,11,West Bengal,17.4
Above All-India Average,12,Rajasthan,16.4
Above All-India Average,13,Orissa,14.5
Below All-India Average,1,Karnataka,12.4
Below All-India Average,2,Punjab,12.2
Below All-India Average,3,Himachal Pradesh,11.5
Below All-India Average,4,Haryana,11.3
Below All-India Average,5,Goa,10
Below All-India Average,6,Andhra Pradesh,9.8
Below All-India Average,7,Kerala,9.7
Below All-India Average,8,Maharashtra,9.6
Below All-India Average,9,Madhya Pradesh,8.9
Below All-India Average,10,Tamil Nadu,8.9
Below All-India Average,11,Mizoram,8.1
Below All-India Average,12,Gujarat,6.7
