SI.No.,States/UT/City,Residential Permises - Number,Residential Permises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Bank - Number,Bank - Value,Commercial Establishments - Number,Commercial Establishments - Value,others place - Number,others Place - Value,Total - Number,Total - Value
1,Andhra Pradesh,5585,549.8,62,10.4,0,0,713,87.3,47,4.3,1402,136.1,7240,1058.3,15049,1846.1
2,Arunachal Pradesh,126,47.6,15,6,0,0,0,0,0,0,28,7.9,152,28,321,89.4
3,Assam,3241,237.6,77,9.6,7,0.3,27,77.6,3,0.4,692,113.1,3282,184.2,7329,622.7
4,Bihar,6834,469.4,260,76,0,0,1021,94.1,2,1.6,1235,200.6,4407,396.6,13759,1238.2
5,Goa,130,41.6,2,0.1,0,0,3,0.3,1,0.1,59,217.1,560,161.3,755,420.5
6,Gujarat,2450,1002.2,127,79.8,32,17.3,771,151.6,10,8.1,1253,421.9,13169,2216.7,17812,3897.7
7,Haryana,2376,873,110,88.9,0,0,214,48.8,0,0,533,147.4,3520,1204.8,6753,2362.8
8,Himachal Pradesh,89,20.8,19,8.6,0,0,1,1,0,0,36,17.8,513,229.6,658,277.7
9,Jammu & Kashmir,187,33.4,2,2.3,0,0,0,0,0,0,0,0,1543,491.1,1732,526.8
10,Karnataka,4359,826.8,133,27.8,0,0,308,203.7,11,1.2,1480,332,8301,2388.5,14592,3780
11,Kerala,1645,898,55,19.5,99,31.4,4,1.5,15,0.1,206,152,2267,1079.1,4291,2181.6
12,Madhya Pradesh,9195,1096.9,451,142.9,225,23,814,74.8,17,1.5,1770,254.2,11782,1514.4,24254,3107.7
13,Maharashtra,10372,3926.9,663,321.3,4,2.8,4224,650.2,54,45.2,2513,722.3,26016,10354.3,43846,16022.9
14,Manipur,56,8.3,3,2.1,1,0,0,0,0,0,47,13.8,174,80.2,281,104.4
15,Meghalaya,282,23.6,0,0,0,0,0,0,0,0,15,1.5,140,18.5,437,43.6
16,Mizoram,451,27.7,0,0,0,0,0,0,0,0,183,14.9,303,16.6,937,59.2
17,Nagaland,81,20.4,13,5.9,0,0,0,0,0,0,20,6.3,139,34,253,66.6
18,Orissa,3504,588.7,128,117,0,0,346,34.8,10,3.5,597,125.8,2507,534.9,7092,1404.6
19,Punjab,729,473.4,60,66.3,0,0,30,6.1,0,0,192,136,1195,787.9,2206,1469.7
20,Rajasthan,4579,1484.3,54,123.1,0,0,437,69,1,0,1156,163.7,11503,2072.3,17730,3912.3
21,Sikkim,30,10.3,7,1.4,1,0.1,0,0,1,0,1,0,28,6.5,68,18.4
22,Tamil Nadu,5044,659.4,177,40.1,4,0,283,23.8,0,0,941,157.6,11423,1301.3,17872,2182.4
23,Tripura,195,10.3,0,0,0,0,0,0,0,0,42,20,60,10,297,40.3
24,Uttar Pradesh,7913,1083.8,6074,1408.5,0,0,2213,188.2,0,0,302,17.1,12846,1659.5,29348,4357
25,West Bengal,6935,518.3,101,11.4,0,0,1690,17.6,2,0,2094,214.9,7335,550.7,18157,1313
Total States,Total States,76388,14932.5,8593,2568.9,373,74.9,13099,1730.3,174,66,16797,3593.8,130405,28379.1,245829,51345.5
26,A & N Islands,31,11.9,0,0,1,0.4,0,0,0,0,8,1,11,3,51,16.2
27,Chandigarh,440,145.6,0,0,0,0,0,0,1,0,68,16.4,526,218.3,1035,380.4
28,D & N Haveli,19,9.4,0,0,7,0.1,0,0,0,0,13,10,25,5.8,64,25.3
29,Daman & DIU,1,0,0,0,0,0,0,0,0,0,14,6.9,23,10.6,38,17.6
30,Delhi,13101,3277,210,75.2,0,0,2142,219.9,0,0,6519,4584.8,2451,923.5,24423,9080.5
31,Lakshadweep,3,0.7,0,0,0,0,0,0,0,0,0,0,8,0,11,0.8
32,Pondicherry,126,22.9,0,0,0,0,0,0,0,0,19,3.1,311,33.2,456,59.2
Total (UTs),Total (UTs),13721,3467.6,210,75.2,8,0.4,2142,219.9,1,0,6641,4622.3,3355,1194.4,26078,9579.9
Total (All-India),Total (All-India),90109,18400.1,8803,2644.1,381,75.3,15241,1950.2,175,66,23438,8216.1,133760,29573.5,271907,60925.4
33,Ahmedabad,291,565.6,0,0,0,0,0,0,2,0.5,232,75.1,3345,204.5,3870,845.7
34,Bangalore,3225,614,26,11.3,0,0,0,0,6,0.3,922,214.8,3272,629.6,7451,1469.9
35,Bhopal,304,51.5,0,0,0,0,0,0,0,0,102,17.6,647,105.1,1053,174.2
36,Calcutta,1735,271.8,0,0,0,0,0,0,0,0,771,151.1,1984,290.3,4490,713.3
37,Chennai,489,89.8,0,0,0,0,0,0,0,0,201,18.6,1537,242.2,2227,350.6
38,Coimbatore,64,9.4,0,0,0,0,0,0,0,0,196,72.4,649,40.5,909,122.4
39,Delhi,12457,2955.7,207,72.3,0,0,2142,219.9,0,0,5745,4291.4,1966,752.3,22517,8291.5
40,Hyderabad,586,28.3,0,0,0,0,0,0,0,0,191,15.9,2218,522.6,2995,566.8
41,Indore,1587,324.8,0,0,0,0,0,0,0,0,498,101.9,119,16.8,2204,443.5
42,Jaipur,737,75.3,8,0.1,0,0,0,0,0,0,593,100.9,1281,342.5,2619,518.9
43,Kanpur,665,68.6,443,116.9,0,0,0,0,0,0,0,0,96,30.8,1204,216.3
44,Kochi,147,54.6,12,1.8,2,0.1,0,0,0,0,19,7.2,173,52.8,353,116.5
45,Lucknow,720,72.8,732,165,0,0,0,0,0,0,102,1,555,40.1,2109,278.9
46,Ludhiana,32,22.6,0,0,0,0,0,0,0,0,16,11.7,291,231.4,339,265.7
47,Madurai,190,17.3,28,11.4,0,0,0,0,0,0,177,28.5,226,40.1,621,97.3
48,Mumbai,1594,1236,544,259.4,4,2.8,0,0,8,1.1,663,334.7,8942,5826,11755,7660
49,Nagpur,229,63.3,0,0,0,0,0,0,2,0.5,106,15.3,2054,426.6,2391,505.7
50,Patna,1246,108.5,42,39.5,0,0,0,0,0,0,0,0,124,31.1,1412,179.1
51,Pune,329,89,2,0.4,0,0,3,0.1,18,41.8,298,69.3,1952,549.6,2602,750.2
52,Surat,270,73.6,1,0.3,3,0.1,2,0.1,0,0,203,141.3,1097,220.5,1576,435.9
53,Vadodra,222,37.2,2,0,4,0.3,0,0,0,0,82,31.9,992,187.3,1302,256.8
54,Varanasi,74,1.1,193,30.3,0,0,0,0,0,0,21,0.5,54,13.3,342,45.2
55,Vishakhapatnam,262,27.6,0,0,0,0,0,0,0,0,109,8.6,409,34.4,780,70.6
