SI.No.,States/UT,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
1,Andhra Pradesh,88.9,94.1,92.2,97.7,86.6,86.8,86.4,79.3,100,70.9,62.2,69,61.4,70.3,86.7,69.4,76.5,32.5,71.5,95.3,96.6,97.7,99.6,95.6,NA,90.4,86.5
2,Arunachal Pradesh,57.4,69.2,80,93.3,61.4,55,76.5,39,NA,58.9,35.5,54.4,55,54.4,81.1,60,67.7,66.7,47.6,82.6,NA,91.7,100,80,NA,65.8,63.9
3,Assam,60.3,56.9,74.6,77.4,57.7,60.9,45,32.6,63,38.4,25.5,41.9,56.3,40.9,68.4,50.6,59.9,72.9,41.5,62.8,79.5,70.7,61.9,76.7,NA,64.1,54.3
4,Bihar,81.2,90.2,83.6,88.8,83.7,84.3,83.4,70.9,94.5,66.2,41.7,51.9,59.5,51.4,87,81,81.3,86.5,77,92.3,88.9,96.2,68.1,87.8,NA,82.9,77.7
5,Goa,78.6,82.9,66.7,90.5,76.9,90,33.3,72.7,NA,62.5,18.7,23.9,17.8,26.4,77.9,58.3,83.1,0,52,89.8,33.3,87.5,71.4,82.4,NA,84.7,55.5
6,Gujarat,81.3,92.1,90.9,93.7,75.8,80.2,58.9,53.7,100,54.5,31.9,30,20.2,33.5,90.7,75.6,74.4,38.2,69.2,95.9,99.1,98.1,95,98.3,NA,90.2,78.3
7,Haryana,80.7,91.6,88.2,98.3,82.6,87.3,71.4,72,97.2,69.5,45.3,42.6,37.1,46.5,97.6,84.9,87.1,74.4,75.2,94.1,99.3,92.1,98.5,90.2,NA,85.9,75.5
8,Himachal Pradesh,74.8,95.8,83.3,96.9,59,55.3,65.2,100,NA,65,25.6,37.7,28.7,40.6,98.3,78.9,79.1,100,43.9,96,100,99.3,100,99.5,NA,89.4,81.1
9,jammu & Kashmir,21.5,39.3,50,95.8,84.1,86.2,74.7,42.9,NA,43,20.1,49.4,17.9,56.2,91.4,76.3,86.3,54.5,17.6,96.8,100,98.4,98.4,100,NA,88.9,71.5
10,Karnataka,85.5,93.1,97.6,91.9,73.5,84.9,61.3,66,100,58.3,27.8,31.4,25.9,33,91.7,63.7,57.8,56,80.7,96.6,96.6,97.8,99.1,96.2,NA,90.8,78
11,Kerala,95.3,97,94.9,99,93.8,90.6,100,83.7,100,77.5,31,50,65.5,46.6,96,87.6,87.3,48.8,59.1,98.3,100,98.5,100,98.5,NA,97.1,91.1
12,Madhya Pradesh,88.3,94.9,91.3,98,85.4,84.9,87.7,72.7,100,65,30.1,34.9,29.5,36.1,93.3,82.8,84,22.2,79.1,98.2,98.1,98.8,98.7,98.8,NA,92.4,81.2
13,Maharashtra,83.9,93.1,96,98.1,79.7,83.4,71.6,58,91.7,54.5,30,29.7,24.1,30.8,93.8,79.1,67.1,40.7,75.5,96.7,98.4,98.2,99,99.5,NA,85.4,68.1
14,Manipur,7.4,6.5,0,16.7,2,0,3.1,12.5,0,10,2.2,7.1,7.7,7,0,16.7,0,76.9,0.8,2.5,NA,6.3,NA,0,NA,4.4,4.8
15,Meghalaya,48,32.1,50,78.8,55.6,55.6,55.6,34.6,66.7,31.5,36.4,50.3,NA,50.3,56.3,64.3,61.5,100,59.1,81.4,NA,94.7,NA,NA,NA,71.5,55.9
16,Mizoram,76,90,100,85.9,100,100,100,66.7,NA,45,71.4,77.3,78.4,77.3,66.7,91.4,78,71.4,56.7,79,NA,91.3,NA,NA,NA,85.1,77.9
17,Nagaland,37.3,54.8,100,85.7,73.7,66.7,75,58.3,NA,40,44.7,46.1,32.3,48.6,40,50,72,50,0,85.7,NA,100,NA,NA,NA,72,56.5
18,Orissa,90.5,91.8,89.8,93.6,89.7,88.7,95.3,72.3,100,77.3,51.1,57.2,26.1,60.2,89.4,76.6,76.1,50,67.7,94,81.5,93.8,90,87,NA,90.7,82.5
19,Punjab,91.6,95.4,92.6,94.4,72.8,76.5,66.7,100,82.8,78.3,61.8,67.1,61.4,70.9,66.7,92.3,92.3,83.3,75.7,94.1,96.6,94.9,100,85,NA,91.2,87.1
20,Rajasthan,84,97.2,92,99.4,74.5,73.3,79.5,67.9,100,71.7,25,27.1,21.8,28.8,98.3,74.8,73.1,16.8,62,97.3,97.7,99.1,95.7,99.3,NA,94.9,82.1
21,Sikkim,100,71.4,NA,100,40,NA,40,100,NA,100,31.7,54.8,NR,NR,23.6,83.3,85.7,NA,27.3,71.8,NA,72.4,NA,NA,NR,52.9,51.7
22,Tamil Nadu,93.5,95.5,96.8,96.5,82.8,82.3,85.6,82.6,100,85.4,65.8,83.9,87.9,81.8,94.4,63.7,77.9,25.3,55.5,96.1,99.5,98.2,100,95.3,NA,94.6,91.7
23,Tripura,58.4,55.6,NA,80.2,31.5,76.9,28.6,48.3,NA,59.1,34.6,56.7,NA,56.7,53.7,100,54.8,100,69.8,39,100,71.2,NA,86.3,NA,78.2,59.7
24,Uttar Pradesh,85.2,86.8,90.9,94.1,74.7,75.7,72.7,83.4,98,65.3,30.7,34.5,24.2,36.7,84.5,56.8,62.1,67.5,66.9,88.1,92.1,94.7,99.1,76.4,NA,84.9,72.3
25,West Bengal,73.6,76.2,77.4,88.9,73.7,73.3,75.1,54.2,84.2,42.3,21.2,17.2,8.9,18,85.7,52.4,40.5,34.7,70.2,78.8,96.5,88.8,70,93,100,71.3,58.4
Total States,Total States,81.9,88.8,86.9,94.5,76.6,78.2,73.4,64.4,91.3,62.2,35.8,39.8,37.1,40.4,90.3,69.7,72.2,47.7,64.8,94.7,93.9,96.6,98.6,93.5,100,89.3,78.1
26,A & N Islands,95,100,NA,81.8,50,50,50,0,NA,0,37.9,35.5,0,36.1,78.9,75,56.3,NA,33.3,85.1,100,91.7,100,75,NA,79.7,70.5
27,Chandigarh,76.9,100,60,75,17.5,20.8,0,NA,100,100,27.7,23.3,15,28.8,82.2,38.7,71.5,NA,42.9,87,100,100,94.4,68.6,NA,75.7,49.8
28,D & N Haveli,69.2,66.7,NA,80,75,100,66.7,50,NA,50,26.5,30.4,0,33.3,81.5,50,81.8,NA,100,89.5,100,83.3,NA,100,NA,86,67.1
29,Daman & DIU,100,100,NA,100,NA,NA,NA,NA,NA,0,13.9,21.7,0,25,100,57.1,50,NA,0,82.4,NA,NA,NA,50,NA,76.8,59.3
30,Delhi,98.1,99.1,91,96.3,92.2,89.1,96.6,96.5,94.6,98,73.2,55.1,54.3,55.4,99.5,69.9,73.1,82.7,85.5,97.4,100,99.7,99,99.2,NA,89.3,77.7
31,Lakshadeep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,22.2,NA,22.2,33.3,0,NA,NA,0,11.1,NA,NA,NA,0,NA,12.5,15.3
32,Pondicherry,88.2,100,80,100,87.5,100,83.3,66.7,NA,90,49.5,56.6,48.5,62.8,88.9,40,95.2,0,8.3,97.3,100,100,100,100,NA,97.3,89.6
Total (UTs),Total (UTs),97.1,99,89.6,95.4,89.2,85.2,94.8,90.6,94.7,97.6,68.2,53.6,51.9,54.3,90.9,68.6,73.1,81.5,60.4,96.3,100,99.6,98.7,90.3,NA,89.2,77
