SI.No.,States/UT/City,Total no. of persons under Trial Including those Erom Previous Year,Number of persons whose cases compounded or with Drawn,Number of persons whose Trial Completed,Number of persons whose Trial Remained Pending,No. of persons Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
1,Andhra Pradesh,477922,29430,152816,295676,44700,61.9,2.9
2,Arunachal Pradesh,13368,258,608,12502,387,93.5,0.1
3,Assam,158079,6631,31017,120431,4265,76.2,1.2
4,Bihar,1360025,21307,143229,1195489,27295,87.9,11.9
5,Goa,25115,461,3516,21138,515,84.2,0.2
6,Gujarat,947311,16352,72301,858658,17496,90.6,8.6
7,Haryana,244126,620,42263,201243,9603,82.4,2
8,Himachal Pradesh,80872,2398,8547,69927,1516,86.5,0.7
9,Jammu & Kashmir,128693,10043,11662,106988,2861,83.1,1.1
10,Karnataka,470424,31010,111900,327514,20768,69.6,3.3
11,Kerala,494534,20402,75746,398386,22558,80.6,4
12,Madhya Pradesh,1608896,107761,200896,1300239,92796,80.8,13
13,Maharashtra,1962025,36544,149070,1776411,17924,90.5,17.7
14,Manipur,2821,0,14,2807,3,99.5,0
15,Meghalaya,9704,91,988,8625,407,88.9,0.1
16,Mizoram,5005,18,970,4017,868,80.3,0
17,Nagaland,4828,57,727,4044,649,83.8,0
18,Orissa,455257,244,67220,387793,7927,85.2,3.9
19,Punjab,72210,738,21860,49612,8528,68.7,0.5
20,Rajasthan,1097280,56901,169401,870978,85382,79.4,8.7
21,Sikkim,1194,6,25,1163,21,97.4,0
22,Tamil Nadu,546614,11290,191860,343464,102110,62.8,3.4
23,Tripura,8024,197,3196,4631,543,57.7,0
24,Uttar Pradesh,1193585,27832,218935,946818,108695,79.3,9.4
25,West Bengal,546313,2296,30045,513972,5091,94.1,5.1
Total States,Total States,11914225,382887,1708812,9822526,582908,82.4,97.8
26,A & N Islands,4086,20,608,3458,144,84.6,0
27,Chandigarh,8860,9,1111,7740,556,87.4,0.1
28,D & N Haveli,2689,0,460,2229,123,82.9,0
29,Daman & DIU,1205,85,233,887,43,73.6,0
30,Delhi,252110,0,51716,200394,17162,79.5,2
31,Lakshadweep,14,0,4,10,0,71.4,0
32,Pondicherry,8474,629,5057,2788,3611,32.9,0
Total (UTs),Total (UTs),277438,743,59189,217506,21639,78.4,2.2
Total (All-India),Total (All-India),12191663,383630,1768001,10040032,604547,82.4,100
