SI.No.,States/UT/City,Number of Victims - UP To 10 Years - Male,Number of Victims - UP To 10 Years - Female,Number of Victims - UP To 10 Years - Total,Number of Victims - 11-15 Years - Male,Number of Victims - 11-15 Years - Female,Number of Victims - 11-15 Years - Total,Number of Victims - 16-18 Years - Male,Number of Victims - 16-18 Years - Female,Number of Victims - 16-18 Years - Total,Number of Victims - 19-30 Years - Male,Number of Victims - 19-30 Years - Female,Number of Victims - 19-30 Years - Total,Number of Victims - 31-50 Years - Male,Number of Victims - 31-50 Years - Female,Number of Victims - 31-50 Years - Total,Number of Victims - Above 50 Years - Male,Number of Victims - Above 50 Years - Female,Number of Victims - Above 50 Years - Total,Number of Victims - Total of All Age Groups - Male,Number of Victims - Total of All Age Groups - Female,Number of Victims - Total of All Age Groups - Total
1,Andhra Pradesh,29,12,41,16,11,27,71,53,124,1048,327,1375,811,225,1036,136,48,184,2111,676,2787
2,Arunachal Pradesh,1,0,1,0,1,1,7,0,7,29,2,31,16,4,20,1,1,2,54,8,62
3,Assam,6,10,16,28,7,35,105,24,129,518,61,579,612,54,666,80,12,92,1349,168,1517
4,Bihar,18,13,31,37,20,57,169,52,221,1890,302,2192,1811,330,2141,120,65,485,4345,782,5127
5,Goa,0,1,1,0,0,0,0,0,0,10,6,16,15,6,21,1,1,2,26,14,40
6,Gujarat,55,53,108,11,6,17,26,35,61,410,173,577,402,114,516,96,28,124,994,409,1403
7,Haryana,25,8,33,15,5,20,45,13,58,404,79,375,301,49,350,42,4,46,724,158,882
8,Himachal Pradesh,1,2,3,1,2,3,3,2,5,296,12,38,55,16,71,10,3,13,96,37,133
9,jammu & Kashmir,5,5,10,11,3,14,25,10,35,26,31,419,246,17,263,22,2,24,697,68,765
10,Karnataka,50,78,128,14,13,27,19,25,44,388,295,734,530,190,720,135,41,176,1187,642,1829
11,Kerala,47,25,72,4,8,12,6,4,10,439,33,127,158,32,190,52,21,73,361,123,484
