SI.No.,Purpose,Total no. of Cases Reported,Sex-Wise/Age group-wise - Up to 10 Years - Male,Sex-Wise/Age group-wise - Up to 10 Years - Female,Sex-Wise/Age group-wise - 11 to 15 Years - Male,Sex-Wise/Age group-wise - 11 to 15 Years - Female,Sex-Wise/Age group-wise - 16 to 18 Years - Male,Sex-Wise/Age group-wise - 16 to 18 Years - Female,Sex-Wise/Age group-wise - 19 to 30 Years - Male,Sex-Wise/Age group-wise - 19 to 30 Years - Female,Sex-Wise/Age group-wise - 31 to 50 Years - Male,Sex-Wise/Age group-wise - 31 to 50 Years - Female,Sex-Wise/Age group-wise - Above to 50 Years - Male,Sex-Wise/Age group-wise - Above to 50 Years - Female,Sex-Wise/Age group-wise - Total Male,Sex-Wise/Age group-wise - Total Female,Sex-Wise/Age group-wise - Grand Total
1,For Adopion,264,11,10,9,10,17,43,71,36,30,7,17,5,155,111,266
2,For Begging,35,13,6,10,3,0,2,3,1,1,0,0,0,27,12,39
3,For Camel Racing,6,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6
4,For Lllicit Intercourse,1983,1,33,1,456,4,745,36,629,28,94,3,3,73,1960,2033
5,For Marriage,9549,0,13,5,1180,71,3622,254,3929,166,406,27,9,523,9159,9682
6,For Prostitution,163,2,0,2,25,2,151,8,47,6,4,1,0,21,227,248
7,For Ransom,1064,53,2,86,2,109,6,476,11,448,1,48,1,1220,23,1243
8,For Revenge,886,29,8,94,10,140,24,345,29,179,11,25,1,812,83,895
9,For Sale,72,7,2,0,30,0,26,0,8,0,1,0,0,7,67,74
10,For Selling body parts,23,0,0,0,0,0,1,15,0,7,0,0,0,22,1,23
11,for slavery,113,1,1,21,1,35,1,35,0,18,0,0,0,110,3,113
12,For Unlawaful activity,751,22,12,42,32,89,106,236,72,141,19,9,13,539,242,781
13,others,8315,219,158,376,618,660,1286,1896,1620,1143,366,105,14,4399,4062,8461
14,Total,23224,358,245,646,2367,1127,6019,3375,6382,2167,909,235,34,7908,15956,23864
