SI.No.,States/UT,ARMS Act,NDPS Act,Gambling Act,Excise Act,prohibition Act,Exp. & Exp. Sub.Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,P.C.R. Act,Indian Passport Act,Essenial Commodiies Ac,Tada Act,Ant. & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (P) of Atrocities Act,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
1,Andhra Pradesh,16.7,3.2,90.6,27.9,13.4,15.4,67.1,99.5,NA,43,0,12.5,4.4,0,11.4,0,25,25.7,NA,10.4,62.9,97.2,93.6
2,Arunachal Pradesh,100,NA,NA,NA,NA,100,NA,NA,100,NA,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.9
3,Assam,22.7,42.4,51.2,54.4,9.1,28.6,12.5,53.3,0,NA,83.3,28.6,10.7,NA,3.8,NA,NA,0,NA,NA,33.3,51.4,44.1
4,Bihar,28.9,33,41.5,40.4,NA,20.7,31.3,53.6,NA,20,50,17.5,NA,NA,27.7,0,0,100,NA,23.1,59.6,35.1,31.8
5,Goa,50,39.3,69.3,0,NA,NA,77.1,NA,100,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.4,76
6,Gujarat,9.3,34.3,39.5,NA,6.5,52,0,80.5,100,0,100,32.1,100,NA,NA,57.1,0,3.7,NA,2.4,0,61.4,27.1
7,Haryana,25.8,8.9,66.6,45.5,NA,19,20,82.2,100,0,50,15.3,0,NA,0,0,0,12.5,NA,0,NA,23.1,44.7
8,Himachal Pradesh,17.6,5.4,19.2,5.8,NA,0,NA,NA,57.1,20,NA,0,NA,NA,NA,0,NA,NA,NA,10,12.3,25.7,6.9
9,jammu & Kashmir,2.4,2.3,92.7,65.5,NA,6.3,NA,NA,100,NA,88.9,10.1,0,NA,NA,NA,NA,100,NA,NA,6.7,24.3,17.5
10,Karnataka,11.4,6.9,85.7,44.1,0,1.9,92.7,0,95.1,0.9,100,4.6,0,NA,1.9,NA,NA,18.2,NA,4.9,8.7,98.7,98.4
11,Kerala,15,58,89.5,31.1,25.1,27.6,31,33.3,33.3,0,25,14.7,NA,NA,0,0,0,0,NA,5.2,NA,69.8,61.7
12,Madhya Pradesh,45.3,49.2,97.6,92.2,100,70.2,0,98.6,66.7,19,NA,37.3,66.7,NA,55.6,0,0,53.3,NA,26,60,97.4,94.9
13,Maharashtra,9.4,32.1,29.3,NA,11.1,5.6,77,98.7,96.1,5.2,50,13.6,0,NA,22.2,0,96.2,7.9,NA,7.5,12.5,95,74.2
14,Manipur,NA,75,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.5
15,Meghalaya,56.5,36.4,100,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,50.5
16,Mizoram,100,91.3,100,NA,NA,100,NA,NA,98.8,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.6
17,Nagaland,100,98.5,NA,100,100,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99
18,Orissa,13,20.1,56.7,41.1,0,20.2,11.1,0.2,NA,0,0,7.4,NA,NA,13.6,NA,NA,0,NA,6.8,50,4.5,27.6
19,Punjab,56.1,13.4,89.4,72.1,NA,34.8,NA,85.2,100,0,85.7,45.9,100,NA,NA,NA,NA,14.3,NA,0,NA,28.7,66.5
20,Rajasthan,58.5,20.9,91.6,83.2,NA,64.6,44,92.6,55,9.1,36.4,35.4,11.1,NA,NA,33.3,25,56.7,NA,33.1,76.7,72.7,73.7
21,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
22,Tamil Nadu,58.3,56.3,97.5,NA,80.9,70.5,99.2,88.9,33.3,28.8,32.4,23.7,NA,NA,29.3,NA,NA,76.2,NA,14.3,NA,88.6,84.2
23,Tripura,60,66.7,75,NA,NA,100,NA,NA,NA,NA,NA,90.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
24,Uttar Pradesh,65.6,59.9,78.1,79.5,NA,58.4,60,97.5,33.3,44.1,100,56.6,63.6,NA,51.9,NA,57.1,41.7,NA,47.3,75.2,82.1,79.6
25,West Bengal,33,17.5,85.6,87.7,NA,13.1,85,100,94.4,NA,NA,8.1,NA,0,0,NA,NA,35.7,NA,NA,NA,99.6,99.2
Total States,Total States,57.4,43,82.3,67.7,59.5,47.2,93.7,96.7,92.6,26.4,71,22.9,18.6,0,24.4,33.3,84.9,28.9,0,28.6,69.4,95.1,88.1
26,A & N Islands,NA,NA,100,100,66.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,98,99.3
27,Chandigarh,86.7,80,97.4,99.3,NA,100,NA,NA,100,NA,NA,57.1,100,NA,NA,NA,NA,0,NA,NA,NA,96.4,95.8
28,D & N Haveli,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,80
29,Daman & DIU,NA,NA,100,NA,NA,NA,NA,NA,100,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50
30,Delhi,38.5,35.1,82,26.5,NA,60,38,30.6,52.8,0,40.8,8,11.1,NA,7.1,NA,12.5,10.2,NA,40,NA,19.2,34.6
31,Lakshadeep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
32,Pondicherry,33.3,33.3,100,NA,NA,0,100,NA,NA,16.7,NA,100,NA,NA,50,NA,NA,0,NA,NA,NA,100,99.2
