SI.No,Crime Head,All India,Cities,Share of Cities to All india
1,Murder,37170,2747,7.4
2,Attempt to Commit Murder,29628,2868,9.7
3,C.H. Not Amounting To Murder,3912,202,5.2
4,Rape,15468,1008,6.5
5,Kidnapping & Abduction,23236,3046,13.1
5,I)Of Woman & Girls,15962,1939,12.1
5,II)Of Others,7274,1107,15.2
6,Dacoity,7079,461,6.5
7,Preparation & Assembly for Dacoity,1501,289,19.3
8,Robbery,21332,3559,16.7
9,Burglary,111296,19199,17.3
10,Theft,271907*,77121,28.4
10,I) Auto Theft,59685,25376,42.5
10,II) Other Theft,212154,51745,24.4
11,Riots,80838,5253,6.5
12,Criminal Breach of Trust,15454,3215,20.8
13,Cheating,41403,11885,28.7
14,Counterfeiting,1347,416,30.9
15,Arson,11218,252,2.2
16,Hurt,236313,23277,9.9
17,Dowry Deaths,6699,547,8.2
18,Molestation,32311,2059,6.4
19,Sexual Harassment,8858,1845,20.8
20,Cruelty by Husband and Relatives,43823,4156,9.5
21,Importation of Girls,1,1,100
22,Other IPC Crimes,763835,91093,11.9
Total Cognizable Crimes Under IPC,Total Cognizable Crimes Under IPC,1764629,254499,14.4
