SI.No.,States/UT/City,Arrested & Sent to Courts,Sent to home after Advice or Admonition,Relesed on Probation and placed under care of - Parent Guardians,Relesed on Probation and placed under care of - fit Insit.,Sent to Special Home,Dealt with Fine,Acquitted or Otherwise Disposed of,Pending Disposal
1,Andhra Pradesh,1094,122,106,28,107,149,146,436
2,Arunachal Pradesh,54,34,20,0,0,0,0,0
3,Assam,250,13,74,10,15,12,58,68
4,Bihar,853,93,66,63,242,30,51,308
5,Goa,30,0,2,0,1,0,0,27
6,Gujarat,2126,110,192,104,117,57,165,1381
7,Haryana,404,0,0,0,5,19,21,359
8,Himachal Pradesh,68,0,13,0,0,0,3,52
9,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,Karnataka,363,50,27,8,6,2,11,259
11,Kerala,66,0,0,4,3,1,3,55
12,Madhya Pradesh,3700,366,196,89,132,359,2558,0
13,Maharashtra,3009,129,680,241,313,114,206,1326
14,Manipur,0,0,0,0,0,0,0,0
15,Meghalaya,23,1,1,0,1,0,2,18
16,Mizoram,47,0,22,0,15,0,6,4
17,Nagaland,0,0,0,0,0,0,0,0
18,Orissa,197,48,50,18,11,0,2,68
19,Punjab,26,0,0,0,0,0,0,26
20,Rajasthan,904,149,135,23,121,18,4,454
21,Sikkim,11,0,3,1,7,0,0,0
22,Tamil Nadu,4751,530,3675,179,63,52,13,239
23,Tripura,17,2,5,0,0,0,7,3
24,Uttar Pradesh,34,4,5,0,3,7,2,13
25,West Bengal,18,5,0,0,4,0,0,9
Total States,Total States,18045,1656,5272,768,1166,820,3258,5105
26,A & N Islands,3,0,0,0,0,0,0,3
27,Chandigarh,30,0,0,0,0,4,0,26
28,D & N Haveli,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0
30,Delhi,372,0,24,0,114,8,100,126
31,Lakshadweep,1,0,0,0,0,0,0,1
32,Pondicherry,9,0,2,0,1,0,0,6
Total (UTs),Total (UTs),415,0,26,0,115,12,100,162
Total (All-India),Total (All-India),18460,1656,5298,768,1281,832,3358,5267
33,Ahmedabad,260,1,0,0,4,15,14,226
34,Bangalore,109,20,11,2,0,0,7,69
35,Bhopal,3,0,0,0,3,0,0,0
36,Calcutta,4,0,0,0,4,0,0,0
37,Chennai,44,3,19,22,0,0,0,0
38,Coimbatore,66,0,45,14,0,0,2,5
39,Delhi,372,0,24,0,114,8,100,126
40,Hyderabad,144,15,17,0,14,64,16,18
41,Indore,198,14,0,0,0,0,0,184
42,Jaipur,123,63,33,15,4,0,8,0
43,Kanpur,0,0,0,0,0,0,0,0
44,Kochi,0,0,0,0,0,0,0,0
45,Lucknow,0,0,0,0,0,0,0,0
46,Ludhiana,13,0,0,0,0,0,0,13
47,Madurai,344,0,300,0,0,0,44,0
48,Mumbai,655,82,349,9,48,4,51,112
49,Nagpur,181,0,0,0,74,34,21,52
50,Patna,52,12,3,0,37,0,0,0
51,Pune,182,0,55,0,64,0,0,63
52,Surat,229,18,22,20,17,37,115,0
53,Vadodra,138,0,0,0,0,0,12,126
54,Varanasi,2,0,0,0,0,0,0,2
55,Vishakhapatnam,78,0,0,7,0,2,0,69
Total Cities,Total Cities,3197,228,878,89,383,164,390,1065
