SI.No.,States/UT/City,1998,1999,Percentage Varificationin 1999 Over 1998,Percentage Countribution to All India During 1999
1,Andhra Pradesh,197815,184758,-6.6,7.1
2,Arunachal Pradesh,2280,3001,31.6,0.1
3,Assam,52230,53215,1.9,2
4,Bihar,238613,207761,-12.9,8
5,Goa,3618,3201,-11.5,0.1
6,Gujarat,177126,176261,-0.5,6.8
7,Haryana,58875,62483,6.1,2.4
8,Himachal Pradesh,16925,16143,-4.6,0.6
9,Jammu & Kashmir,20950,26584,26.9,1
10,Karnataka,174657,154369,-11.6,5.9
11,Kerala,137778,142512,3.4,5.5
12,Madhya Pradesh,304023,312758,2.9,12
13,Maharashtra,256290,254181,-0.8,9.8
14,Manipur,1100,1249,13.5,0
15,Meghalaya,1783,2045,14.7,0.1
16,Mizoram,2321,2097,-9.7,0.1
17,Nagaland,1114,1088,-2.3,0
18,Orissa,76688,74562,-2.8,2.9
19,Punjab,28504,31620,10.9,1.2
20,Rajasthan,221068,224656,1.6,8.6
21,Sikkim,497,1413,184.3,0.1
22,Tamil Nadu,213482,202294,-5.2,7.8
23,Tripura,5110,3853,-24.6,0.1
24,Uttar Pradesh,303475,299059,-1.5,11.5
25,West Bengal,100998,102039,1,3.9
Total States,Total States,2597320,2543202,-2.1,97.8
26,A & N Islands,538,669,24.3,0
27,Chandigarh,1856,3285,77,0.1
28,D & N Haveli,803,789,-1.7,0
29,Daman & DIU,415,320,-22.9,0
30,Delhi,46208,47702,3.2,1.8
31,Lakshadweep,6,23,283.3,0
32,Pondicherry,4270,4886,14.4,0.2
Total (UTs),Total (UTs),54096,57674,6.6,2.2
Total (All-India),Total (All-India),2651416,2600876,-1.9,100
33,Ahmedabad,16399,16918,3.2,6.9
34,Bangalore,16519,14244,-13.8,5.9
35,Bhopal,12339,11657,-5.5,4.8
36,Calcutta,7397,7399,0,3
37,Chennai,8004,6906,-13.7,2.8
38,Coimbatore,4329,4121,-4.8,1.7
39,Delhi,40868,41204,0.8,16.9
40,Hyderabad,9096,9271,1.9,3.8
41,Indore,8157,8945,9.7,3.7
42,Jaipur,11414,11961,4.8,4.9
43,Kanpur,11208,9797,-12.6,4
44,Kochi,5685,6170,8.5,2.5
45,Lucknow,5326,7017,31.7,2.9
46,Ludhiana,2168,2295,5.9,0.9
47,Madurai,4602,5106,11,2.1
48,Mumbai,24015,27584,14.9,11.3
49,Nagpur,7376,8460,14.7,3.5
50,Patna,15908,13821,-13.1,5.7
51,Pune,12215,12250,0.3,5
52,Surat,6984,5893,-15.6,2.4
53,Vadodra,8326,6761,-18.8,2.8
54,Varanasi,1707,2123,24.4,0.9
55,Vishakhapatnam,2806,3556,26.7,1.5
Total Cities,Total Cities,242848,243459,0.3,100
