SI.No. , States/UT,Number of Police Personnel - SC ,Number of Police Personnel - ST ,Number of Police Personnel - Muslim ,Number of Police Personnel - Others ,Number of Police Personnel - Total 
1,Andhra Pradesh ,11736,4324,5621,52302,73983
2,Arunachal Pradesh ,69,4270,68,2225,6632
3,Assam,2381,5051,7833,822,16087
4,Bihar,NR ,NR,NR,NR,NR
5,Goa,66,2,57,2552,2677
6,Gujarat,8855,10068,4211,37816,60950
7,Haryana,4875,0,391,24130,29396
8,Himachal Pradesh,2778,662,170,6737,10347
9,Jammu & Kashmir,1678,2212,30780,22383,57053
10,Karnataka ,8016,2131,3778,39445,53370
11,Kerala,3550,376,2906,33303,40135
12,Madhya Pradesh,11951,12973,3544,68835,97303
13,Maharashtra,21442,11605,6037,78222,117306
14,Manipur,207,3326,1420,9594,14547
15,Meghalaya,1980,6044,78,4630,12732
16,Mizoram,NR ,NR ,NR ,NR ,NR 
17,Nagaland,2174,12280,137,565,15156
18,Orissa,4825,5135,0,27258,37218
19,Punjab,NR ,NR ,NR ,NR ,NR 
20,Rajasthan,9405,7785,2217,51071,70478
21,Sikkim ,410,1052,3,2524,3989
22,Tamil Nadu,14415,1380,5084,58554,79433
23,Tripura,853,1532,154,10134,12673
24,Uttar Pradesh,34729,1485,9417,119859,165490
25,West Bengal ,7727,2535,3989,45629,59880
Total States,Total States,154122,96228,87895,698590,1036835
26,A & N Islands,0,286,190,2067,2543
27,Chandigarh,553,0,25,3359,3937
28,D & N Haveli,35,18,0,184,237
29,Daman & DIU,119,7,10,68,204
30,Delhi,9791,2662,1451,39348,53252
31,Lakshadweep,6,186,3,133,328
32,Pondicherry,369,16,65,1690,2140
Total (UTs),Total (UTs),16,0,1744,46849,62641
Total (All-India),Total (All-India),164995,99403,89639,745439,1099476
