Sl.No.,City,Rate of Crime (IPC) - City,Rate of Crime (IPC) - Domain State
1,Ahmedabad,379.9,261.1
2,Bangalore,507.6,214.1
3,Bhopal,589.6,261.3
4,Calcutta,89.3,84.9
5,Chennai,103,237.2
6,Coimbatore,296.8,237.2
7,Delhi,454.6,431.6
8,Hyderabad,171,160.5
9,Indore,609.3,261.3
10,Jaipur,586,317.7
11,Kanpur,280.2,103.6
12,Kochi,287.1,294.4
13,Lucknow,277.4,103.6
14,Ludhiana,114.6,86.7
15,Madurai,293.5,237.2
16,Mambai,163.7,196.2
17,Nagpur,466.1,196.2
18,Patna,439.9,120.5
19,Pune,276.3,196.2
20,Surat,197.2,261.1
21,Vadodara,364.5,261.1
22,Varanasi,107.4,103.6
23,Visakhapatnam,223.8,160.5
Total,Total,267.8,178.9
