SI.No.,States/UT/City,"No. of Cases Registered (U/S 224,225B)",No.of persons Escaped in Above Cases,Persons Escaped from Lockup,Persons Escaped outside the Lockup,Escapees from lock up Rearrested,other Escapees Rearrested,No. of Cases in Which Final Report Submitted,No. of Persons Charged Sheeted for offence of Escape,Disposal by Courts - no tried - cases involved,Disposal by Courts - no tried - No. of Persons,Disposal by Courts - no Convicted - cases involved,Disposal by Courts - No. Convicted - No. of Persons,Disposal by Courts - no. Acquited - cases involved,Disposal by Courts - no. Acquitted - No. of Persons,Disposal by Courts - no. of pending for trial - cases involved,Disposal by Courts - no. of pending for trail - No. of Persons,No. of Persons Awarded imprisonment on charge of Escape - up to 3 Years,No. of Persons Awarded imprisonment on charge of Escape - More than 3 Years
1,Andhra Pradesh,76,90,32,58,26,45,11,68,20,30,23,13,2,2,44,45,11,0
2,Arunachal Pradesh,3,5,3,2,3,1,0,4,0,0,1,1,0,0,4,0,0,0
3,Assam,59,89,12,77,6,61,8,63,30,29,15,20,17,18,55,53,4,2
4,Bihar,144,202,61,141,26,65,18,97,19,21,0,0,0,0,65,63,0,0
5,Goa,4,4,0,4,0,3,0,3,3,3,1,1,0,0,2,2,1,0
6,Gujarat,55,66,14,52,9,37,11,53,25,47,4,3,2,0,55,90,6,2
7,Haryana,45,68,16,52,28,29,19,59,36,99,4,8,1,3,50,125,7,0
8,Himachal Pradesh,20,26,10,16,7,7,11,10,5,5,5,5,1,1,7,6,1,0
9,Jammu & Kashmir,10,10,2,8,0,6,2,6,4,4,1,1,0,0,2,2,1,0
10,Karnataka,37,42,2,40,2,32,6,28,17,22,5,6,3,3,27,32,1,0
11,Kerala,28,42,5,37,6,3,10,31,12,17,1,2,4,5,20,23,2,0
12,Madhya Pradesh,206,278,35,243,23,196,9,212,170,170,2,2,0,0,172,172,0,1
13,Maharashtra,111,125,24,101,10,74,21,92,7,8,5,5,2,3,171,235,4,0
14,Manipur,1,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,5,27,3,24,7,18,2,4,0,0,0,0,0,0,3,3,18,0
16,Mizoram,8,9,0,9,0,5,1,5,1,1,1,1,0,0,4,4,1,0
17,Nagaland,6,37,0,37,0,30,0,2,0,0,0,0,0,0,2,0,0,0
18,Orissa,53,156,1,155,9,31,7,40,29,29,1,1,4,4,49,47,5,0
19,Punjab,31,34,8,26,3,15,12,26,12,26,1,1,1,2,14,27,1,0
20,Rajasthan,113,125,5,120,2,78,4,91,91,91,0,0,0,0,91,91,0,0
21,Sikkim,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,74,104,4,100,6,63,26,45,24,19,13,14,0,0,40,35,3,0
23,Tripura,1,2,2,0,0,2,0,0,2,2,0,0,0,0,1,2,0,0
24,Uttar Pradesh,149,168,35,133,16,87,15,110,97,103,1,1,0,0,96,102,0,0
25,West Bengal,23,33,7,26,5,15,4,24,0,0,0,0,0,0,0,0,0,0
Total States,Total States,1262,1745,281,1464,194,906,197,1073,604,726,84,85,37,41,974,1159,66,5
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,14,18,6,12,4,6,0,0,3,3,1,1,0,0,7,13,1,0
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),15,19,6,13,4,7,0,1,3,3,2,2,0,0,7,13,2,0
Total (All-India),Total (All-India),1277,1764,287,1477,198,913,197,1074,607,729,86,87,37,41,981,1172,68,5
