SI.No.,States/UT/City,ARMS Act,Narcotic Drugs & Psy. Subtances Act,Gambling Act,Excise Act,prohibition Act,Explosive & Expplosive Sub.Act,Immorail Trafic (Prevention) Act,Indian Railways Act,Registration of Foreigners Act,Protection of civil Rights Act,Indian Passport Act,Essenial Commodiies Ac,Terrorist & Disruptive Activites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copy Right Act,Sati Prevention Act,SC/ST (P) of Atrocities Act,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
1,Andhra Pradesh,0,0,22,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,66
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Assam,1,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7
4,Bihar,5,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,72,2,85
5,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gujarat,2,2,12,0,429,0,8,15,0,0,0,0,0,0,0,0,0,1,0,7,0,162,638
7,Haryana,2,1,13,18,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,45
8,Himachal Pradesh,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,0,0,3,1,0,0,10,0,2,0,2,0,0,0,0,0,0,0,0,1,0,8,27
11,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12,Madhya Pradesh,14,2,32,41,0,6,1,46,0,0,0,1,0,0,1,0,0,0,0,0,0,123,267
13,Maharashtra,3,0,19,0,110,0,2,42,1,1,0,0,0,0,0,0,0,1,0,0,0,95,274
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Mizoram,9,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,5,36
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
19,Punjab,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,Rajasthan,0,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,13,36
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,0,3,0,0,194,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3842,4051
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
25,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total States,Total States,36,9,111,70,733,7,75,105,14,1,16,1,0,0,3,1,1,2,0,18,73,4279,5555
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,4,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),4,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,14
Total (All-India),Total (All-India),40,9,113,75,733,7,75,105,14,1,16,2,0,0,3,1,1,2,0,18,73,4281,5569
33,Ahmedabad,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,24,52
34,Bangalore,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,6
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
