SL. No.,Years,Boys,Girls,Total,Percentage of Girls
1,1977,138532,10390,148922,7
2,1978,151187,9732,160919,6
3,1979,160310,9733,170043,5.7
4,1980,178129,9456,187585,5
5,1981,181888,8679,190567,4.6
6,1982,157664,10673,168337,6.3
7,1983,160513,11101,171614,6.5
8,1984,149755,12505,162260,7.7
9,1985,157107,11392,168499,6.8
10,1986,159977,10172,170149,6
11,1987,166407,13555,17992,7.5
Percentage Change in 1987 Over 1977,Percentage Change in 1987 Over 1977,20.1,30.5,20.8,NA
Percentage Change in 1987 Over 1986,Percentage Change in 1987 Over 1986,4,33.3,5.8,NA
