SL. No.,Category,State/UT/City,Arms Act - Incidence (I),Arms Act - Volume (V),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Volume (V),Motor Vehicle Act - Incidence (I),Motor Vehicle Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other Offences - Incidence (I),Other Offences - Volume (V),Total of All Cognizable Crimes Under Local and Special Laws - Incidence (I),Total of All Cognizable Crimes Under Local and Special Laws - Volume (V)
1,State,Andhra Pradesh,421,0.7,4,0,33956,56.3,3751,6.2,NA,0,316,0.5,1091,1.8,366341,607.6,NA,0,NA,0,NA,0,265399,440.2,671279,1113.4
2,State,Arunachal Pradesh,6,0.8,5,0.7,NA,0,NA,0,NA,0,2,0.3,NA,0,NA,0,NA,0,NA,0,NA,0,14,1.9,27,3.6
3,State,Assam,236,1,11,0,403,1.8,928,4,114,0.5,16,0.1,10,0,2,0,1,0,NA,0,19,0.1,1541,6.7,3281,14.3
4,State,Bihar,2035,2.5,NA,0,500,0.6,1496,1.9,NA,0,475,0.6,11,0,1635,2,3,0,15,0,1265,1.6,2030,2.5,9465,11.8
5,State,Goa,5,0.4,99,8.5,871,74.4,NA,0,NA,0,4,0.3,68,5.8,234,20,2,0.2,NA,0,47,4,778,66.5,2108,180.1
6,State,Gujarat,400,1,182,0.5,12459,32.3,NA,0,121421,314.4,135,0.3,3,0,113,0.3,NA,0,NA,0,1546,4,29453,76.3,165712,429.1
7,State,Haryana,969,6.3,1054,6.9,1474,9.6,9839,64.4,NA,0,24,0.2,NA,0,NA,0,32,0.2,NA,0,204,1.3,2157,14.1,15753,103
8,State,Himachal Pradesh,46,1,67,1.4,26,0.5,3556,73.9,NA,0,8,0.2,NA,0,NA,0,1,0,NA,0,1,0,302,6.3,4007,83.3
9,State,Jammu & Kashmir,120,1.7,14,0.2,81,1.2,22,0.3,NA,0,24,0.3,NA,0,NA,0,1,0,1,0,2,0,1015,14.7,1280,18.6
10,State,Karnataka,69,0.2,22,0.1,4568,10.8,1298,3.1,2,0,55,0.1,1508,3.6,402890,949.7,1,0,NA,0,20,0,26030,61.4,436463,1028.8
