SL. No.,Crime Heads,Male,Female,Total,Percentage of Male to Total,Percentage of Female to Total
1,Murder,62472,2536,65008,96.1,3.9
2,C.H. Not Amounting to Murder,8259,187,8446,97.8,2.2
3,Rape,11377,53,11430,99.5,0.5
4,Kidnapping & Abduction,20063,736,20799,96.5,3.5
5,Dacoity,34923,147,35070,99.6,0.4
6,Robbery,28625,292,28917,99,1
7,Burglary,90575,982,91557,98.9,1.1
8,Theft,198185,5559,203744,97.3,2.7
9,Riots,540397,16930,557327,97,3
10,Criminal Breach of Trust,15532,173,15705,98.9,1.1
11,Cheating,20217,362,20579,98.2,1.8
12,Counterfeiting,816,9,825,98.9,1.1
13,Total Cognizable Crimes Under IPC,2127757,57588,2185345,97.4,2.6
