SL. No.,Heads of Crime,1983,1984,1985,1986,1987
1,Murder,1.6,1.9,1.9,1.9,2
2,Culpable Homicide Not Amounting to Murder,0.2,0.3,0.3,0.3,0.3
3,Rape,0.4,0.5,0.5,0.6,0.6
4,Kidnapping & Abduction,1,1.1,1.2,1.1,1.1
5,Dacoity,1.1,0.9,0.8,0.7,0.7
6,Robbery,1.7,1.7,1.6,1.6,1.6
7,Burglary,12.2,10,9.4,9.2,8.9
8,Theft,31.5,24.3,23.9,23,22.1
9,Riots,7.8,7.5,7.2,6.7,6.5
10,Criminal Breach of Trust,1.5,1.4,1.3,1.4,1.3
11,Cheating,1.3,1.4,1.5,1.6,1.6
12,Counterfeiting,0.1,0.1,0.1,0.1,0.1
13,Other IPC Crimes,39.6,48.9,50.3,51.8,53.3
Total,Total,100,100,100,100,100
