SL. No.,Category,States/UTs/Cities,1982,1983,1984,1985,1986,Quinquennial Average 1982 to 1986 (Q.A.),1987,"Percentage Variation in 1987 (+) Increase, (-) Decrease - Over Quinquennial Average (Q.A.)","Percentage Variation in 1987 (+) Increase, (-) Decrease - Over 1986",Volume of Crime in 1987 Per Lakh of Population
1,State,Andhra Pradesh,79722,84773,82559,82219,81322,82119,94279,14.8,15.9,156.4
2,State,Arunachal Pradesh,1011,1071,960,1012,1280,1067,1355,27,5.9,179.8
3,State,Assam,43632,48979,35145,34459,38108,40065,37244,-7,-2.3,161.8
4,State,Bihar,106768,108662,104763,100549,105901,105329,107245,1.8,1.3,134.1
5,State,Goa,3123,2850,2999,3759,4514,3449,4551,32,0.8,388.8
6,State,Gujarat,80740,79559,83930,87336,83001,82913,84714,2.3,2.1,219.4
7,State,Haryana,16563,16774,17912,20001,21797,18609,22918,23.2,5.1,149.9
8,State,Himachal Pradesh,3989,4430,5065,5299,5955,4948,6479,31,8.8,134.6
9,State,Jammu & Kashmir,15523,17139,17122,19440,19855,17816,19158,7.5,-3.5,277.8
10,State,Karnataka,74479,77304,78866,83580,81540,79154,79456,0.4,-2.6,187.3
11,State,Kerala,46096,47309,48932,49146,53911,49079,56806,15.7,5.4,199.5
12,State,Madhya Pradesh,170310,166355,167945,171553,170673,169367,181103,6.9,6.1,302.8
13,State,Maharashtra,165747,157249,163667,166672,182026,167072,184596,10.5,1.4,258.8
14,State,Manipur,3081,3069,2886,3203,2604,2969,1841,-38,-29.3,110.8
15,State,Meghalaya,1733,1646,1613,1752,1594,1668,2440,46.3,53.1,153.6
16,State,Mizoram,1709,1696,1577,1213,1006,1440,1157,-19.7,15,183.8
17,State,Nagaland,1058,1940,1964,2122,1559,1729,1624,-6.1,4.2,163
18,State,Orissa,48060,44662,44817,44838,45103,45496,42603,-6.4,-5.5,144.2
19,State,Punjab,12263,13960,12828,11185,13224,9900,15017,51.7,13.6,79.4
20,State,Rajasthan,73610,71367,71672,78876,81118,75329,79851,6,-1.6,196.7
21,State,Sikkim,226,257,283,325,373,293,354,20.8,-5.1,88.9
22,State,Tamil Nadu,115410,114416,113714,119455,116276,115854,114470,-1.2,-1.6,213.4
23,State,Tripura,5486,5900,6025,5461,4714,5517,4631,-16.1,-1.8,193.4
24,State,Uttar Pradesh,167747,164926,180189,184786,184818,176493,168791,-4.4,-8.7,133.5
25,State,West Bengal,83379,81239,74899,70346,68526,75678,62947,-16.8,-8.1,101.9
Total (States),State,Total (States),1321465,1317532,1322332,1348587,1370798,1333353,1375630,3,0.4,178.9
26,UT,A & N Islands,702,755,739,672,719,718,741,3.2,3.1,292.5
27,UT,Chandigarh,1617,1612,1806,1767,1510,1662,1621,-2.5,7.4,256.4
28,UT,D & N Haveli,272,205,283,382,464,321,541,68.5,16.6,443.4
29,UT,Daman & Diu,95,86,91,114,136,104,116,11.5,-14.7,125.8
30,UT,Delhi,27163,27360,30773,30412,29828,29107,25846,-11.2,-13.3,321.5
31,UT,Lakshadweep,15,18,23,28,20,21,31,47.6,55,70.1
32,UT,Pondicherry,2575,2298,2613,2769,2360,2523,2466,-2.3,4.5,353.9
Total (UTs),UT,Total (UTs),32439,32334,36328,36144,35037,34456,31362,-9,-10.5,252.2
Total (All India),Total (All India),Total (All India),1353904,1349866,1358660,1384731,1405835,1367809,1406992,2.7,0.1,180.1
1,City,Ahmedabad,11432,10500,10156,10703,10505,10659,11037,3.5,5.1,468.6
2,City,Bangalore,14818,14149,16354,16019,16592,15586,21817,40,31.5,663.1
3,City,Bombay,34696,31722,31150,35977,36643,34038,36018,5.8,-1.7,361
4,City,Calcutta,13249,14062,13877,14644,14013,13969,13219,-5.4,-5.7,393.1
5,City,Delhi,25855,26070,29243,28823,27813,27562,23837,-13.5,-14.3,314.4
6,City,Hyderabad,6510,6649,7491,7579,7481,7142,7498,5,0.2,309.1
7,City,Jaipur,5173,4491,5137,5411,4988,5040,5667,12.4,13.6,435.9
8,City,Kanpur,6017,6638,6226,7278,7632,6758,7231,7,-5.3,419.9
9,City,Lucknow,9100,6659,6839,4778,4814,6438,3418,-46.9,-29,343.5
10,City,Madras,13375,13816,10561,11834,13466,12610,13827,9.7,2.7,353
11,City,Nagpur,16763,6148,7060,7929,8832,9346,8783,-6,-0.6,587.6
12,City,Pune,7892,7517,8319,9165,9422,8463,9163,8.3,-2.7,621.9
Total (Cities),City,Total (Cities),164880,148421,152413,160140,162201,157611,161515,2.5,-0.4,404.9
