SL. No.,States/UTs,City Name,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,73,NA,23,75,8,96,1265,3087,226,82,325,43,5302
2,Andhra Pradesh,Visakhapatnam (U),13,NA,2,17,8,11,250,714,76,10,84,1,1186
3,Andhra Pradesh,Kakinada,4,NA,5,10,NA,4,78,225,10,9,24,NA,369
4,Andhra Pradesh,Rajahmundry,8,NA,5,2,NA,1,18,69,4,6,7,NA,120
5,Andhra Pradesh,Eluru,2,NA,2,4,NA,NA,43,147,2,6,7,NA,213
6,Andhra Pradesh,Gudivada,8,NA,7,9,2,1,45,122,24,11,6,1,236
7,Andhra Pradesh,Mahilipatnam,3,NA,NA,5,NA,1,27,57,6,6,1,NA,106
8,Andhra Pradesh,Vijayawada,21,NA,13,18,12,10,207,798,47,40,118,6,1290
9,Andhra Pradesh,Gutur,15,NA,2,9,2,14,98,510,1,16,71,1,739
10,Andhra Pradesh,Tenali,4,NA,NA,5,NA,NA,20,75,4,NA,8,NA,116
11,Andhra Pradesh,Nellore,6,1,2,2,NA,1,53,304,NA,4,9,1,383
12,Andhra Pradesh,Kurnool,13,NA,NA,1,1,NA,26,100,4,1,5,3,154
13,Andhra Pradesh,Cuddapah,6,NA,2,5,NA,1,44,103,11,4,NA,2,178
14,Andhra Pradesh,Nizamabad,9,NA,2,5,NA,8,35,83,6,7,7,NA,162
15,Andhra Pradesh,Warangal,15,NA,4,2,5,5,97,139,8,1,31,2,309
1,Assam,Guwahati,28,NA,13,36,24,47,410,951,152,98,61,NA,3350
1,Bihar,Patna,133,17,13,74,91,216,369,1862,180,NA,66,6,5972
2,Bihar,Biharsharif,14,NA,NA,6,6,11,32,50,23,NA,6,7,155
3,Bihar,Arrah,3,2,2,5,7,15,79,183,42,11,5,NA,378
4,Bihar,Gaya,18,4,3,27,9,4,35,198,39,20,76,2,997
5,Bihar,Muzaffarpur,9,2,2,6,15,11,47,80,28,16,17,NA,233
6,Bihar,Chapra,8,NA,1,3,7,9,77,88,25,2,7,7,612
