SL. No.,Category,State/U.Ts/Cities,Gain - Murder,Gain - Culpable Homocide Not Ampunting to Murder (C.H.),Dispute Over Property - Murder,Dispute Over Property - Culpable Homocide Not Ampunting to Murder (C.H.),Personal Venedetta or Enmity - Murder,Personal Venedetta or Enmity - Culpable Homocide Not Ampunting to Murder (C.H.),Sexual Causes - Murder,Sexual Causes - Culpable Homocide Not Ampunting to Murder (C.H.),Sudden Provocation - Murder,Sudden Provocation - Culpable Homocide Not Ampunting to Murder (C.H.),Lunacy - Murder,Lunacy - Culpable Homocide Not Ampunting to Murder (C.H.),Other Causes - Murder,Other Causes - Culpable Homocide Not Ampunting to Murder (C.H.),Total - Murder,Total - Culpable Homocide Not Ampunting to Murder (C.H.)
1,State,Andhra Pradesh,125,NA,40,NA,278,NA,49,NA,92,30,6,NA,1248,NA,1838,30
2,State,Arunachal Pradesh,NA,NA,12,NA,NA,NA,5,NA,9,NA,NA,NA,17,2,43,2
3,State,Assam,73,9,225,7,96,1,15,NA,113,1,10,NA,282,8,814,26
4,State,Bihar,773,87,661,65,450,32,352,35,24,1,141,34,1181,66,3582,320
5,State,Goa,1,NA,2,NA,3,NA,3,NA,8,NA,NA,NA,13,1,30,1
6,State,Gujarat,26,6,69,22,68,5,136,NA,149,NA,4,NA,674,11,1144,11
7,State,Haryana,36,NA,53,NA,92,NA,54,2,79,63,NA,NA,186,22,482,120
8,State,Himachal Pradesh,5,NA,13,1,11,NA,12,NA,12,6,1,NA,30,8,84,15
9,State,Jammu & Kashmir,4,NA,22,1,10,NA,3,NA,2,4,NA,NA,61,7,102,12
10,State,Karnataka,63,NA,137,NA,149,NA,163,NA,82,1,4,NA,514,34,1112,35
11,State,Kerala,18,NA,20,NA,149,2,5,NA,34,5,13,8,233,18,472,33
12,State,Madhya Pradesh,259,2,175,6,365,3,74,1,128,8,32,3,1717,40,2750,63
13,State,Maharashtra,82,4,163,4,209,2,248,23,245,NA,102,NA,1157,14,2206,47
14,State,Manipur,1,NA,2,NA,19,NA,1,NA,27,NA,NA,NA,18,7,68,7
15,State,Meghalaya,11,NA,4,NA,3,NA,1,NA,23,NA,1,NA,52,4,95,4
16,State,Mizoram,6,NA,NA,NA,1,NA,9,NA,NA,NA,NA,NA,29,1,45,1
17,State,Nagaland,2,1,1,NA,14,NA,NA,NA,NA,NA,NA,NA,28,1,45,2
18,State,Orissa,22,12,36,5,105,5,43,NA,198,11,NA,NA,182,30,586,63
19,State,Punjab,16,NA,91,17,63,5,49,9,115,53,NA,NA,1054,53,1388,137
20,State,Rajasthan,56,NA,91,3,312,NA,24,NA,43,NA,NA,NA,613,40,1139,43
21,State,Sikkim,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,4,NA,6,1
22,State,Tamil Nadu,83,NA,217,4,143,NA,186,2,73,NA,26,4,803,12,1531,22
23,State,Tripura,38,NA,13,NA,16,NA,5,NA,4,4,NA,NA,68,NA,144,4
24,State,Uttar Pradesh,711,167,870,284,1705,418,461,113,361,131,5,2,2872,911,6985,2026
25,State,West Bengal,167,47,362,128,321,107,42,8,51,47,3,1,507,156,1453,494
Total (States),State,Total (States),2579,335,3279,547,4582,580,1940,193,1873,366,348,52,13543,1446,28144,3519
26,UT,A & N Islands,NA,NA,NA,NA,2,NA,1,1,3,NA,NA,NA,1,NA,7,1
27,UT,Chandigarh,2,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,15,3,22,3
28,UT,D & N Haveli,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,4,NA
29,UT,Daman & Diu,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,1,NA,7,NA
30,UT,Delhi,16,3,53,47,65,58,13,NA,38,30,NA,NA,126,60,311,198
31,UT,Lakshadweep,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA
32,UT,Pondicherry,NA,NA,2,NA,11,NA,NA,NA,NA,NA,NA,NA,5,NA,18,NA
Total (UTs),UT,Total (UTs),18,3,55,47,85,58,17,1,45,30,NA,NA,149,63,369,202
Total (All India),Total (All India),Total (All India),2597,338,3334,594,4667,638,1957,194,1918,396,348,52,13692,1509,28513,3721
1,City,Ahmedabad,2,NA,NA,NA,12,NA,6,NA,30,NA,NA,NA,31,1,81,1
2,City,Bangalore,5,NA,5,NA,17,NA,6,NA,10,NA,1,1,64,2,108,3
3,City,Bombay,29,NA,9,NA,49,NA,8,NA,56,2,NA,NA,134,NA,285,2
4,City,Calcutta,11,3,9,2,43,4,NA,NA,NA,1,NA,NA,6,NA,69,10
5,City,Delhi,13,2,46,40,59,52,11,NA,29,2,NA,NA,101,41,259,159
6,City,Hyderabad,2,NA,10,NA,13,NA,1,NA,NA,NA,NA,NA,45,NA,71,NA
7,City,Jaipur,NA,NA,5,NA,13,NA,NA,NA,NA,NA,NA,NA,18,1,36,1
8,City,Kanpur,30,3,10,10,25,11,4,3,NA,NA,NA,NA,63,9,132,36
9,City,Lucknow,4,1,3,4,18,11,12,1,NA,NA,NA,NA,31,3,68,20
10,City,Madras,4,NA,1,NA,10,NA,6,NA,15,NA,NA,NA,25,3,61,3
11,City,Nagpur,2,NA,12,NA,5,NA,3,NA,38,NA,NA,NA,42,NA,102,NA
12,City,Pune,1,NA,3,NA,4,NA,10,NA,7,NA,1,NA,44,NA,70,NA
Total (Cities),City,Total (Cities),103,9,113,56,268,78,67,4,185,27,2,1,604,60,1342,235
