SL. No.,Year,Total Value of Property Stolen (Rs. In Lakhs),Total Value of Property Recovered (Rs. In Lakhs),Percentage of Value of Property Recovered to Value of Property Stolen
1,1978,9897.7,2645.8,26.7
2,1979,10690.1,2956.7,27.7
3,1980,15617.2,3558.6,22.8
4,1981,16241.7,5340.6,32.9
5,1982,17657.4,4821.7,27.3
6,1983,17055.3,4933.2,28.9
7,1984,23824.6,6818.4,28.6
8,1985,22642.4,6712.3,29.6
9,1986,21924.6,7614.6,34.7
10,1987,34444.4,8099.7,23.5
