SL. No.,Crime Heads,1983,1984,1985,1986,1987,Percentage Change in 1987 Over 1986
1,Arms Act,64413,59205,61987,56954,53577,-5.9
2,Narcotic Drugs & Psychotropic Substances Act,14356,14440,14277,13253,9442,-28.8
3,Gambling Act,189863,176829,179419,163097,166429,2
4,Excise Act,11338,107967,106163,95011,91696,-3.5
5,Prohibition Act,388224,365526,356840,365300,553138,51.4
6,Explosive & Explosive Substances Act,3477,2905,3373,3205,3304,3.1
7,Immoral Traffic (Prevention) Act,15325,14209,14815,14403,13453,-6.6
8,Motor Vehicle Act,998067,1137539,1192537,1173061,1454870,24
9,Prevention of Corruption Act,328,723,503,204,322,57.8
10,Customs Act,149,102,84,158,227,43.7
11,Indian Railways Act,48655,36749,32478,37460,19429,-48.1
12,Other Offences,1084868,1000614,1134005,1062548,1223439,15.1
13,Total of All Cognizable Crimes Under Local and Special Laws,2921063,2916808,3096481,2984654,3589326,20.3
