SL. No.,Category,States/UTs,Area in Square Kms.,Estimated Mid-Year Population (in 000),Total Cognizable Crimes Under IPC,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Number of Policemen per 100 Sqr. Kms. Area,Number of Policemen per 1000 of Population,Number of IPC Cases per Civil Policeman,Percentage of Civil Police to Total Police
1,State,Andhra Pradesh,275068,60289,94279,45500,8556,54056,19.7,0.9,2.1,84.2
2,State,Arunachal Pradesh,83743,754,1355,2150,NA,2150,2.6,2.9,0.6,100
3,State,Assam,78438,23013,37244,27715,18694,46409,59.2,2,1.4,59.7
4,State,Bihar,173877,80002,107245,55676,16738,72414,41.7,0.9,1.9,76.9
5,State,Goa,3700,1171,4551,1801,737,2538,68.6,2.2,2.5,71
6,State,Gujarat,196024,38618,84714,48195,12225,60420,30.8,1.6,1.8,79.8
7,State,Haryana,44212,15288,22918,14050,4606,18656,42.2,1.2,1.6,75.3
8,State,Himachal Pradesh,55673,4812,6479,7164,3253,10417,18.7,2.2,0.9,68.8
9,State,Jammu & Kashmir,222236,6896,19158,16807,8359,25166,11.3,3.7,1.1,66.8
10,State,Karnataka,191791,42425,79456,40148,4724,44872,23.4,1.1,2,89.5
11,State,Kerala,38863,28475,56806,27074,6648,33722,86.8,1.2,2.1,80.3
12,State,Madhya Pradesh,443446,59814,181103,57491,24228,81719,18.4,1.4,3.2,70.4
13,State,Maharashtra,307690,71334,184596,101759*,11341*,113100*,36.8,1.6,1.8,90
14,State,Manipur,22327,1662,1841,4348,5878,10226,45.8,6.2,0.4,42.5
15,State,Meghalaya,22429,1588,2440,4709,1839,6548,29.2,4.1,0.5,71.9
16,State,Mizoram,21081,630,1157,1980,1059,3039,14.4,4.8,0.6,65.2
17,State,Nagaland,16579,996,1624,6490,8958,15448,93.2,15.5,0.3,42
18,State,Orissa,155707,29547,42603,25748,7159,32907,21.1,1.1,1.7,78.3
19,State,Punjab,50362,18908,15017,28766,5719,34485,68.5,1.8,0.5,83.4
20,State,Rajasthan,342239,40585,79851,40456,7335,47791,14,1.2,2,84.7
21,State,Sikkim,7096,398,354,1673,522,2195,30.9,5.5,0.2,76.2
22,State,Tamil Nadu,130058,53653,114470,52280,7357,59637,45.9,1.1,2.2,87.7
23,State,Tripura,10486,2395,4631,6112,2953,9065,86.5,3.8,0.8,67.4
24,State,Uttar Pradesh,294411,126479,168791,122886,33982,156868,53.3,1.2,1.4,78.3
25,State,West Bengal,88752,61773,62947,45026,30298,75324,84.9,1.2,1.4,59.8
Total (States),State,Total (States),3276288,771505,1375630,786004,233168,1019172,31.1,1.3,1.8,77.1
26,UT,A & N Islands,8249,253,741,1231,550,1781,21.6,7,0.6,69.1
27,UT,Chandigarh,114,632,1621,1637,1005,2642,2317.6,4.2,1,62
28,UT,D & N Haveli,491,122,541,114,87,201,40.9,1.7,4.8,56.7
29,UT,Daman & Diu,114,92,116,13,NA,13,11.4,0.2,8.9,100
30,UT,Delhi,1483,8039,25846,25672,9978,35650,2403.9,4.4,1,72
31,UT,Lakshadweep,32,44,31,296,NA,296,925,6.7,0.1,100
32,UT,Pondicherry,492,697,2466,979,795,1774,360.6,2.6,2.5,55.2
Total (UTs),UT,Total (UTs),10975,9879,31362,29942,12415,42357,385.9,4.3,1.1,70.7
Total (All India),Total (All India),Total (All India),3287263,781384,1406992,815946,245583,1061529,32.3,1.4,1.7,76.9
