SL. No.,Category,States/U.Ts./Cities,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic Set-Up - Lower Income (Below Rs. 150/PM),By Economic Set-Up - Lower Middle Income (Above Rs. 150/ But Below Rs. 500/PM),By Economic Set-Up - Upper Middle Income (Above Rs. 500/PM) But Below Rs. 1000/PM,By Economic Set-Up - Upper Income (Above Rs. 1000),By Economic Set-Up - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total,By Religion - Hindu,By Religion - Muslim,By Religion - Sikh,By Religion - Christian,By Religion - Others,By Religion - Total,By Community - Scheduled Caste,By Community - Scheduled Tribe,By Community - Others,By Community - Total,By Education - Illiterate,By Education - Below Primary,By Education - Above Primary But Below Matric,By Education - Matric/ Higher Secondary and Above,By Education - Total
1,State,Andhra Pradesh,1379,2856,1944,6179,1502,3187,875,615,6179,5166,1013,6179,2642,695,15,786,2041,6179,1697,1682,2800,6179,2265,1902,1175,837,6179
2,State,Arunachal Pradesh,77,48,NA,125,8,20,62,35,125,88,37,125,30,10,NA,10,75,125,10,75,40,125,25,NA,67,33,125
3,State,Assam,2409,988,267,3664,1635,1049,714,266,3664,3018,646,3664,1636,1356,65,182,425,3664,935,715,2014,3664,1264,1163,701,536,3664
4,State,Bihar,3269,1202,552,5023,3038,1072,644,269,5023,4809,214,5023,2926,1372,56,64,605,5023,1462,549,3012,5023,2613,1176,986,248,5023
5,State,Goa,497,262,19,778,291,355,121,11,778,709,69,778,409,85,3,241,40,778,NA,NA,778,778,141,214,329,94,778
6,State,Gujarat,24924,8098,3835,36857,15846,15509,4653,849,36857,31421,5436,36857,23517,10892,156,436,1856,36857,7531,7123,22203,36857,13020,15275,6917,1645,36857
7,State,Haryana,2748,706,81,3535,2316,867,333,19,3535,2931,604,3535,2353,324,571,20,267,3535,777,592,2166,3535,1308,1275,747,205,3535
8,State,Himachal Pradesh,1629,127,30,1786,766,727,260,33,1786,1699,87,1786,1623,43,64,3,53,1786,457,24,1305,1786,397,314,743,332,1786
9,State,Jammu & Kashmir,712,108,NA,820,316,336,153,15,820,819,1,820,314,196,179,75,56,820,213,1,606,820,154,242,305,119,820
10,State,Karnataka,1776,738,179,2693,978,1024,555,136,2693,2334,359,2693,1744,318,NA,171,460,2693,153,167,2373,2693,902,833,597,361,2693
11,State,Kerala,529,324,6,859,242,368,210,39,859,859,NA,859,598,216,NA,38,7,859,41,25,793,859,95,318,311,135,859
12,State,Madhya Pradesh,13346,1130,458,14934,7298,3478,2856,1302,14934,12219,2715,14934,12118,1953,204,111,548,14934,1051,6534,7349,14934,1982,1259,4272,7421,14934
13,State,Maharashtra,37822,9546,4588,51956,20775,18622,11792,767,51956,45876,6080,51956,34658,10743,755,1302,4498,51956,11672,5699,34585,51956,15612,16316,15467,4561,51956
14,State,Manipur,475,600,188,1263,235,350,460,218,1263,843,420,1263,754,64,NA,352,93,1263,260,450,553,1263,180,250,550,283,1263
15,State,Meghalaya,57,17,7,81,15,24,32,10,81,73,8,81,11,16,NA,54,NA,81,48,25,8,81,10,13,50,8,81
16,State,Mizoram,305,53,5,363,37,124,150,52,363,308,55,363,4,6,NA,305,48,363,4,347,12,363,58,133,151,21,363
17,State,Nagaland,175,68,23,266,99,82,19,66,266,204,62,266,40,41,NA,170,15,266,130,123,13,266,64,58,96,48,266
18,State,Orissa,222,113,168,503,329,100,32,42,503,382,121,503,372,60,14,36,21,503,149,62,292,503,172,159,105,67,503
19,State,Punjab,520,55,21,596,188,272,99,37,596,466,130,596,289,9,NA,18,280,596,195,60,341,596,200,103,151,142,596
20,State,Rajasthan,2373,1909,74,4356,1122,1092,1995,147,4356,4086,270,4356,2910,1279,102,52,13,4356,448,738,3170,4356,1034,1791,1172,359,4356
21,State,Sikkim,82,37,NA,119,52,39,28,NA,119,102,17,119,66,5,NA,NA,48,119,8,26,85,119,21,13,85,NA,119
22,State,Tamil Nadu,24110,6663,2816,33589,22388,7614,1501,2086,33589,28252,5337,33589,24545,4704,331,3435,574,33589,9521,1340,22728,33589,13515,12538,5263,2273,33589
23,State,Tripura,255,102,52,409,49,97,251,12,409,369,40,409,184,82,NA,8,135,409,69,64,276,409,158,109,103,39,409
24,State,Uttar Pradesh,414,159,40,613,471,128,14,NA,613,553,60,613,436,137,4,NA,36,613,120,25,468,613,253,117,150,93,613
25,State,West Bengal,1377,620,159,2156,933,962,178,83,2156,1806,350,2156,829,1142,22,103,60,2156,711,222,1223,2156,802,626,630,98,2156
Total (States),State,Total (States),121482,36529,15512,173523,80929,57498,27987,7109,173523,149392,24131,173523,115008,35748,2541,7972,12254,173523,37662,26668,109193,173523,56245,56197,41123,19958,173523
26,UT,A & N Islands,149,23,NA,172,NA,33,116,23,172,162,10,172,134,18,3,5,12,172,NA,NA,172,172,25,118,17,12,172
27,UT,Chandigarh,195,92,110,397,32,165,183,17,397,372,25,397,97,4,105,2,189,397,17,12,368,397,192,99,88,18,397
28,UT,D & N Haveli,92,NA,NA,92,27,45,13,7,92,92,NA,88,90,1,NA,1,NA,92,7,76,9,92,45,37,10,NA,92
29,UT,Daman & Diu,1,NA,NA,1,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,1
30,UT,Delhi,NA,NA,NA,4572,NA,NA,NA,NA,4572,NA,NA,4572,NA,NA,NA,NA,NA,4572,NA,NA,NA,4572,NA,NA,NA,NA,4572
31,UT,Lakshadweep,2,NA,NA,2,NA,NA,2,NA,2,2,NA,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,2,NA,2
32,UT,Pondicherry,1110,68,25,1203,1127,66,10,NA,1203,1186,17,1203,1067,13,NA,11,112,1203,98,NA,1105,1203,915,271,17,NA,1203
Total (UTs),UT,Total (UTs),1549,183,135,6439,1186,310,324,47,6439,1815,52,6439,1389,38,108,19,313,6439,122,90,1655,6439,1177,526,134,30,6439
Total (All India),Total (All India),Total (All India),123031,36712,15647,179962,82115,57808,28311,7156,179962,151207,24183,179962,116397,35786,2649,7991,12567,179962,37784,26758,110848,179962,57422,56723,41257,19988,179962
1,City,Ahmedabad,5155,2317,311,7783,4794,2288,506,195,7783,6972,811,7783,5169,2268,39,150,157,7783,1299,639,5791,7783,3661,2111,1555,456,7783
2,City,Bangalore,272,256,55,583,455,124,4,NA,583,507,76,583,144,40,NA,7,392,583,20,1,562,583,353,183,29,18,583
3,City,Bombay,1633,1069,225,2927,475,2114,205,133,2927,2065,862,2927,730,935,245,369,648,2927,445,479,2003,2927,895,1175,569,288,2927
4,City,Calcutta,23,6,5,34,34,NA,NA,NA,34,34,NA,34,22,12,NA,NA,NA,34,NA,NA,34,34,27,7,NA,NA,34
5,City,Delhi,NA,NA,NA,4021,NA,NA,NA,NA,4021,NA,NA,4021,NA,NA,NA,NA,NA,4021,NA,NA,NA,4021,NA,NA,NA,NA,4021
6,City,Hyderabad,1730,973,319,3022,1173,1457,259,133,3022,2399,623,3022,1844,1089,13,76,NA,3022,266,143,2613,3022,327,169,987,1539,3022
7,City,Jaipur,291,702,43,1036,97,555,346,38,1036,983,53,1036,490,506,13,27,NA,1036,171,197,668,1036,110,183,533,210,1036
8,City,Kanpur,282,65,18,365,310,50,5,NA,365,355,10,365,270,95,NA,NA,NA,365,48,7,310,365,105,60,48,152,365
9,City,Lucknow,80,30,5,115,65,50,NA,NA,115,110,5,115,80,25,NA,NA,10,115,20,10,85,115,48,55,12,NA,115
10,City,Madras,8855,995,608,10458,4921,4796,727,14,10458,9409,1049,10458,6252,2387,331,1148,340,10458,2979,339,7140,10458,4395,2830,2162,1071,10458
11,City,Nagpur,4316,926,257,5499,534,2624,2137,204,5499,4923,576,5499,4216,925,43,147,168,5499,563,226,4710,5499,269,586,4361,283,5499
12,City,Pune,2816,812,569,4197,1792,1599,580,226,4197,2981,1216,4197,2556,877,75,167,522,4197,791,361,3045,4197,1634,1182,235,1146,4197
Total (Cities),City,Total (Cities),25453,8151,2415,40040,14650,15657,4769,943,40040,30738,5281,40040,21773,9159,759,2091,2237,40040,6602,2456,26961,40040,11824,8541,10491,5163,40040
