SL. No.,Category,States/UTs/Cities,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (Prevention) Act,Motor Vehicle Act,Prevention of Corruption Act,Customs Act,Indian Railways Act,Other Offences Under Local and Special Laws,Total
1,State,Andhra Pradesh,NA,NA,155,5,NA,NA,34,3477,NA,NA,NA,204,3875
2,State,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,State,Assam,4,NA,94,67,9,NA,1,NA,NA,NA,NA,133,308
4,State,Bihar,180,NA,98,136,NA,57,NA,NA,NA,NA,NA,238,709
5,State,Goa,NA,NA,83,1,6,NA,9,NA,NA,NA,NA,48,147
6,State,Gujarat,26,1,2986,NA,10952,12,NA,7,NA,NA,19,4776,18779
7,State,Haryana,45,111,296,620,NA,NA,NA,NA,NA,NA,15,45,1132
8,State,Himachal Pradesh,2,2,2,725,NA,1,NA,NA,NA,NA,NA,29,761
9,State,Jammu & Kashmir,10,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,19
10,State,Karnataka,NA,NA,124,38,NA,NA,65,353,NA,NA,NA,149,729
11,State,Kerala,NA,NA,14,NA,NA,NA,1,3,NA,NA,NA,111,129
12,State,Madhya Pradesh,186,NA,820,403,NA,2,NA,75,NA,NA,1173,713,3372
13,State,Maharashtra,105,98,5171,NA,7284,NA,3,23,11,NA,3725,4942,21362
14,State,Manipur,1,70,34,144,NA,6,8,NA,NA,NA,NA,22,285
15,State,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,State,Mizoram,NA,NA,1,NA,NA,NA,NA,29,NA,NA,NA,181,211
17,State,Nagaland,NA,NA,NA,11,NA,NA,NA,4,NA,NA,NA,7,22
18,State,Orissa,1,NA,10,2,NA,NA,NA,NA,NA,NA,7,24,44
19,State,Punjab,38,10,121,184,NA,NA,NA,NA,NA,NA,7,19,379
20,State,Rajasthan,95,14,247,20,NA,NA,NA,NA,81,NA,4,51,512
21,State,Sikkim,NA,NA,1,NA,NA,NA,NA,42,NA,NA,NA,22,65
22,State,Tamil Nadu,1,40,1362,NA,4373,227,964,3256,NA,NA,6,19504,29733
23,State,Tripura,NA,NA,4,28,22,NA,NA,NA,NA,NA,NA,47,101
24,State,Uttar Pradesh,3,NA,NA,3,NA,NA,NA,NA,NA,NA,7,344,357
25,State,West Bengal,9,NA,104,NA,11,4,NA,NA,NA,NA,79,143,350
Total (States),State,Total (States),706,346,11732,2387,22657,309,1085,7269,92,NA,5042,31756,83381
26,UT,A & N Islands,NA,NA,5,75,3,NA,NA,4,NA,NA,NA,15,102
27,UT,Chandigarh,NA,NA,3,8,NA,NA,NA,NA,NA,NA,NA,21,32
28,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
29,UT,Daman & Diu,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,4,10
30,UT,Delhi,365,129,108,76,NA,2,17,NA,NA,NA,27,918,1642
31,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,UT,Pondicherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (UTs),UT,Total (UTs),365,129,122,156,3,2,17,4,NA,NA,27,960,1788
Total (All India),Total (All India),Total (All India),1071,475,11854,2546,22660,311,1102,7273,92,NA,5069,32716,85169
1,City,Ahmedabad,6,NA,847,NA,1930,NA,NA,NA,NA,NA,NA,1232,4015
2,City,Bangalore,NA,NA,2,NA,NA,NA,1,171,NA,NA,NA,1,175
3,City,Bombay,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1903,1905
4,City,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
5,City,Delhi,351,111,99,64,NA,2,17,NA,NA,NA,27,892,1563
6,City,Hyderabad,NA,NA,NA,5,NA,NA,NA,979,NA,NA,NA,1977,2961
7,City,Jaipur,50,3,11,1,NA,NA,NA,NA,NA,NA,NA,9,74
8,City,Kanpur,85,NA,22,27,NA,NA,NA,NA,53,NA,NA,74,261
9,City,Lucknow,1,NA,5,2,NA,NA,NA,8,NA,NA,NA,NA,16
10,City,Madras,NA,NA,872,NA,230,NA,124,NA,NA,NA,NA,8307,9533
11,City,Nagpur,44,66,839,NA,905,NA,2,NA,NA,NA,NA,1686,3542
12,City,Pune,NA,32,58,NA,484,NA,NA,3,NA,NA,NA,604,1181
Total (Cities),City,Total (Cities),537,212,2755,99,3550,2,144,1162,53,NA,27,16689,25230
