SL. No.,Crime Heads,Number of Cases Reported During - 1986,Number of Cases Reported During - 1987,Percentage of Offences to Total Offences in 1987
1,Arms Act,1182,1071,1.3
2,Narcotic Drugs & Psychotropic Substances Act,569,475,0.5
3,Gambling Act,10919,11854,13.9
4,Excise Act,1988,2546,3
5,Prohibition Act,15390,22660,26.6
6,Explosive & Explosive Substances Act,39,311,0.4
7,Immoral Traffic (Prevention) Act,1090,1102,1.3
8,Motor Vehicle Act,8927,7273,8.5
9,Prevention of Corruption Act,4,92,0.1
10,Customs Act,NA,NA,NA
11,Indian Railways Act,3642,5069,6
12,Other Offences Under Local and Special Laws,34993,32716,38.4
13,Total Cognizable Crimes Under Local and Special Laws,78743,85169,100
