SL. No.,Nature of Property Stolen and Recovered,Number of Cases in which Property was Stolen,Value of Property Stolen (in Rs. Lakhs),Value of Property Recovered (in Rs. Lakhs),Percentage of Value of Property Recovered to Value of Property Stolen
1,Wire,11219,542.59,150.02,27.6
2,Cattle,13604,266.76,144.73,54.3
3,Cycle,50612,1736.65,826.86,47.6
4,Motor Vehicles and Accessories,18503,2684.31,1603.25,59.7
5,Fire Arms,4157,121.16,25.45,21
6,Explosives,202,3.54,2.85,80.5
7,Others,369557,29089.38,5346.58,18.4
8,Total,467854,34444.39,8099.74,23.5
