SL. No.,States/UTs,District Name,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,73,NA,23,75,8,96,3087,226,82,325,43,1265,7498
2,Andhra Pradesh,Srikakulam,32,NA,21,22,9,7,276,154,26,24,3,101,5654
3,Andhra Pradesh,Vizianagaram,20,NA,12,12,4,2,262,73,25,43,NA,138,4988
4,Andhra Pradesh,Visakhapatnam (R ),47,NA,1,8,6,4,178,22,7,31,2,69,2170
5,Andhra Pradesh,Visakhapatnam (U),13,NA,2,12,8,11,714,76,10,84,1,250,3834
6,Andhra Pradesh,Godavari East,79,1,37,36,1,15,1015,138,55,94,NA,460,6450
7,Andhra Pradesh,Godavari West,50,1,48,19,8,9,729,56,37,70,1,297,6492
8,Andhra Pradesh,Krishna,54,NA,32,23,7,12,576,154,36,26,1,197,3547
9,Andhra Pradesh,Vijayawada (U),21,NA,12,18,12,10,798,47,40,118,6,207,2335
10,Andhra Pradesh,Guntur,129,1,43,44,28,51,1337,176,43,174,5,424,6549
11,Andhra Pradesh,Nellore,61,1,13,16,14,22,682,98,20,28,6,199,4737
12,Andhra Pradesh,Prakasham,80,1,20,32,14,26,483,161,16,69,3,235,3424
13,Andhra Pradesh,Kurnool,119,2,6,16,16,13,316,131,9,12,3,125,1696
14,Andhra Pradesh,Cuddapah,85,NA,8,21,14,15,449,371,6,35,6,204,2593
15,Andhra Pradesh,Anantapur,88,4,19,27,32,18,564,382,13,20,3,220,3241
16,Andhra Pradesh,Chittoor,83,2,22,54,27,41,274,374,36,77,6,338,4072
17,Andhra Pradesh,Ranga Reddy,80,NA,14,31,27,55,831,221,42,109,2,552,1882
18,Andhra Pradesh,Mahabubnagar,135,7,20,13,24,17,334,203,8,25,4,273,2746
19,Andhra Pradesh,Nizamabad,88,NA,15,18,31,76,376,146,25,45,5,215,2256
20,Andhra Pradesh,Nalgonda,79,2,23,12,20,31,371,286,10,25,1,225,2727
