SL. No.,Ranks,Killed,Injured
1,Constables,193,2528
2,Head Constables,55,453
3,Assistant Sub-Inspectors,18,107
4,Sub-Inspectors,32,366
5,Inspectors,6,113
6,Other Gazetted Officers,4,99
Total,Total,308,3666
