SL. No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Kidnapping & Abduction - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
1,State,Andhra Pradesh,5021,118,5139,69,NA,69,696,6,702,813,32,845,1116,6,1122,974,6,980,4134,111,4245,8911,397,9308,41319,930,42249,447,NA,447,1235,3,1238,69,NA,69,150862,3864,154726
2,State,Arunachal Pradesh,51,4,55,11,NA,11,15,NA,15,21,NA,21,37,NA,37,28,NA,28,123,1,124,182,1,183,18,NA,18,22,NA,22,10,NA,10,NA,NA,NA,1235,14,1249
3,State,Assam,1547,15,1562,41,NA,41,557,NA,557,1185,1,1186,1348,5,1353,853,3,856,4203,9,4212,9015,69,9084,14449,143,14592,530,NA,530,615,NA,615,10,NA,10,56319,274,56593
4,State,Bihar,7393,145,7538,661,37,698,1293,NA,1293,3121,118,3239,8163,29,8192,3919,6,3925,9339,43,9382,19103,192,19295,79434,290,79724,1657,3,1660,2366,20,2386,109,NA,109,217532,1108,218640
5,State,Goa,69,1,70,3,NA,3,13,NA,13,23,NA,23,34,1,35,95,3,98,354,2,356,699,31,730,1679,305,1984,56,5,61,59,4,63,NA,NA,NA,5539,563,6102
6,State,Gujarat,3112,150,3262,22,NA,22,221,11,232,718,65,783,747,10,757,1158,18,1176,4048,133,4181,10547,521,11068,14465,485,14950,1708,20,1728,1080,53,1133,19,NA,19,115999,5427,121426
7,State,Haryana,1089,27,1116,339,3,342,113,1,114,232,11,243,177,NA,177,214,NA,214,1610,14,1624,2635,33,2668,1802,9,1811,73,1,74,323,NA,323,4,NA,4,32479,251,32730
8,State,Himachal Pradesh,157,8,165,27,4,31,41,NA,41,99,3,102,9,NA,9,47,2,49,451,NA,451,527,11,538,1353,175,1528,89,1,90,92,2,94,NA,NA,NA,8446,1182,9628
9,State,Jammu & Kashmir,170,3,173,26,NA,26,151,NA,151,539,3,542,26,NA,26,24,NA,24,714,2,716,3045,16,3061,6988,605,7593,172,NA,172,206,1,207,NA,NA,NA,26990,1468,28458
10,State,Karnataka,2611,118,2729,45,5,50,232,1,233,527,28,555,611,13,624,550,3,553,3224,28,3252,7308,204,7512,57096,1728,58824,563,7,570,1064,33,1097,23,1,24,143629,3383,147012
