SL. No.,Heads of Crime,Incidence - 1977,Volume - 1977,Incidence - 1982,Volume - 1982,Incidence - 1983,Volume - 1983,Incidence - 1984,Volume - 1984,Incidence - 1985,Volume - 1985,Incidence - 1986,Volume - 1986,Quinquennial Average 1982-1986 (Q.A.),Incidence - 1987,Volume - 1987,"Percentage Change in 1987 (+) Increase, (-) Decrease Over - 1977","Percentage Change in 1987 (+) Increase, (-) Decrease Over - Quinquennial Average (Q.A.)","Percentage Change in 1987 (+) Increase, (-) Decrease Over - 1986"
1,Murder,18376,2.9,23339,3.3,25112,3.5,25786,3.5,25970,3.5,27269,3.6,25495,28513,3.6,55.2,11.8,4.6
2,Culpable Homicide Not Amounting to Murder,2615,0.4,3427,0.5,3793,0.5,4093,0.6,3995,0.5,4195,0.5,3900,3721,0.5,42.3,-4.6,-11.3
3,Rape,4058,0.6,5427,0.8,6019,0.8,6740,0.9,7289,1,7952,1,6685,8559,1.1,111,28,7.6
4,Kidnapping & Abduction,12240,2,13341,1.9,13842,1.9,15141,2.1,16051,2.1,15667,2,14808,15251,2,24.6,3,-2.7
5,Dacoity,12599,2,12700,1.8,12382,1.7,12301,1.7,11254,1.5,10444,1.4,11816,10036,1.3,-20.3,-15.1,-3.9
6,Robbery,22725,3.6,21938,3.1,21310,3,23204,3.2,22501,3,22395,2.9,22270,22917,2.9,0.8,2.9,2.3
7,Burglary,193622,30.9,142726,20.2,139103,19.3,136272,18.5,130354,17.4,128946,16.8,135480,125466,16.1,-35.2,-7.4,-2.7
8,Theft,432046,69,375240,53.2,353536,49.1,330669,45,330554,44,323533,42.2,342706,310575,39.7,-28.1,-9.4,-4
9,Riots,80449,12.9,106511,15.1,108101,15,101460,13.8,99757,13.3,94197,12.3,102005,90789,11.6,12.9,-11,-3.6
10,Criminal Breach of Trust,22868,3.7,18259,2.6,18514,2.6,18428,2.5,18417,2.5,19021,2.5,18528,17847,2.3,-22,-3.7,-6.2
11,Cheating,19623,3.1,17471,2.5,19767,2.7,19077,2.6,21016,2.8,22579,2.9,19982,22115,2.8,12.7,10.7,-2.1
12,Counterfeiting,784,0.1,939,0.1,809,0.1,1118,0.2,1504,0.2,1687,0.2,1211,1653,0.2,110.8,36.5,-2
13,Other IPC Crimes,444999,71.1,612586,86.9,627578,87.1,664371,90.3,696069,92.7,727950,95,665711,749550,95.9,68.4,12.6,3
14,Total Cognizable Crimes Under IPC,1267004,202.5,1353904,192,1349866,187.4,1358660,184.7,1384731,184.4,1405835,183.5,1370597,1406992,180.1,11,2.7,0.1
