SL. No.,Category,State/UT/City,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,73,2,51,29,15,32,254,535,499,2,13,NA,2290
2,State,Arunachal Pradesh,NA,NA,NA,NA,NA,5,20,26,3,NA,NA,NA,125
3,State,Assam,71,NA,38,81,132,80,476,902,1034,9,8,NA,3302
4,State,Bihar,81,20,53,56,137,56,217,1213,1887,42,16,NA,4293
5,State,Goa,9,NA,2,1,9,8,79,120,258,2,1,NA,634
6,State,Gujarat,347,NA,36,118,96,148,948,2107,1584,69,78,NA,13823
7,State,Haryana,92,19,29,28,4,9,270,283,107,NA,16,NA,2341
8,State,Himachal Pradesh,19,1,12,7,1,6,85,56,220,NA,3,NA,1002
9,State,Jammu & Kashmir,6,NA,15,2,NA,NA,31,141,178,NA,NA,NA,782
10,State,Karnataka,42,NA,10,2,1,12,94,281,737,2,4,1,1910
11,State,Kerala,12,NA,8,NA,NA,2,66,67,413,NA,NA,NA,681
12,State,Madhya Pradesh,351,4,238,84,63,197,1335,1569,1749,17,23,NA,10546
13,State,Maharashtra,561,16,152,145,229,417,1855,4759,3712,142,107,1,24402
14,State,Manipur,12,1,4,25,18,11,39,46,276,NA,8,2,753
15,State,Meghalaya,NA,NA,4,NA,NA,NA,NA,16,32,NA,NA,NA,81
16,State,Mizoram,NA,NA,2,NA,NA,NA,17,24,NA,NA,NA,109,152
17,State,Nagaland,NA,NA,2,4,6,12,60,62,24,NA,NA,NA,244
18,State,Orissa,1,3,NA,NA,14,1,147,216,NA,2,2,NA,455
19,State,Punjab,18,NA,1,NA,NA,4,23,31,NA,NA,NA,NA,206
20,State,Rajasthan,76,2,21,49,3,31,283,376,1325,3,8,NA,3797
21,State,Sikkim,NA,NA,NA,NA,NA,NA,2,11,7,NA,1,NA,34
22,State,Tamil Nadu,82,NA,23,18,11,31,395,1017,577,NA,4,NA,2703
23,State,Tripura,5,NA,NA,5,2,6,37,33,128,NA,NA,NA,307
24,State,Uttar Pradesh,6,2,2,1,NA,NA,4,35,NA,NA,NA,NA,93
25,State,West Bengal,49,10,19,9,36,14,48,244,1097,2,NA,NA,1665
Total (States),State,Total (States),1913,80,722,664,777,1082,6785,14170,15847,292,292,113,76621
26,UT,A & N Islands,3,NA,1,NA,NA,NA,11,15,14,NA,NA,NA,57
27,UT,Chandigarh,NA,NA,1,2,NA,NA,21,118,75,NA,4,NA,287
28,UT,D & N Haveli,NA,NA,1,NA,NA,2,9,16,29,NA,NA,NA,88
29,UT,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
30,UT,Delhi,77,52,33,75,12,69,221,701,164,18,45,1,3249
31,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2
32,UT,Pondicherry,1,NA,2,1,NA,1,8,62,22,NA,NA,NA,102
Total (UTs),UT,Total (UTs),81,52,38,78,12,72,272,912,305,18,49,1,3786
Total (All India),Total (All India),Total (All India),1994,132,760,742,789,1154,7057,15082,16152,310,341,114,80407
1,City,Ahmedabad,48,NA,8,32,3,33,152,453,320,9,30,NA,2748
2,City,Bangalore,NA,NA,1,1,NA,5,25,107,14,NA,2,NA,397
3,City,Bombay,15,NA,5,26,5,24,NA,515,9,6,2,NA,1008
4,City,Calcutta,NA,NA,NA,NA,NA,NA,12,17,NA,NA,NA,NA,30
5,City,Delhi,77,43,30,66,12,60,200,631,150,15,40,1,2751
6,City,Hyderabad,NA,NA,NA,5,NA,NA,26,30,NA,NA,NA,NA,61
7,City,Jaipur,6,NA,4,17,18,3,76,99,308,1,5,NA,948
8,City,Kanpur,NA,NA,NA,NA,NA,5,12,53,NA,NA,NA,NA,109
9,City,Lucknow,11,NA,2,3,1,3,15,19,28,NA,2,NA,84
10,City,Madras,11,NA,6,4,6,14,37,88,46,NA,NA,NA,426
11,City,Nagpur,21,NA,15,21,17,27,56,376,156,32,28,NA,1337
12,City,Pune,19,NA,13,10,17,45,130,566,268,9,21,NA,2506
Total (Cities),City,Total (Cities),208,43,84,185,79,219,741,2954,1299,72,130,1,12405
