SL. No.,Crime Heads,Number of New Offenders Arrested,Number of Offenders who have been Arrested in the Past - Once,Number of Offenders who have been Arrested in the Past - Twice,Number of Offenders who have been Arrested in the Past - Three Times or More,Total
1,Murder,59633,4670,590,115,65008
2,C.H. Not Amounting to Murder,8073,321,27,25,8446
3,Rape,10577,720,129,4,11430
4,Kidnapping & Abduction,19702,889,149,59,20799
5,Dacoity,30498,3146,961,465,35070
6,Robbery,25572,2253,856,236,28917
7,Burglary,80142,8197,2329,889,91557
8,Theft,178663,16869,5276,2936,203744
9,Riots,530995,22703,2867,762,557327
10,Criminal Breach of Trust,14887,728,70,20,15705
11,Cheating,19416,1011,108,44,20579
12,Counterfeiting,813,11,1,NA,825
13,Total Cognizable Crimes Under IPC,2056815,101889,19083,7558,2185345
